Time (s), esn 1 surface potential difference wrt to esn ground(V)
25.513973, 1.7648138E-4
47.94545, 3.921743E-4
77.81673, 1.707066E-4
107.68806, 0.0012207031
134.89421, -1.4531529E-5
162.10179, 4.8828125E-4
183.75162, 0.001453828
206.68947, -9.700878E-4
249.46461, 0.0018833706
271.35352, 0.002157262
293.24402, 0.0014648438
337.025, 9.765625E-4
357.46384, 1.7272777E-4
377.51654, 0.0010371404
416.7095, 0.0016276041
456.52457, 0.0
494.06387, 0.003070986
531.60596, 0.0
567.555, 0.001582942
598.53815, 0.0021582097
624.4727, 0.0068359375
676.34186, 0.0048828125
705.2622, 0.005226442
737.564, 0.002521357
769.86804, 0.0
834.476, -0.001953125
934.476, -9.765625E-4
957.4048, 0.0037921972
980.33673, 0.00390625
1000.63, 0.0010304597
1020.7864, 0.0013010266
1041.2104, 0.0033178949
1061.2699, 0.002701395
1100.95, 0.0013230847
1127.1512, 6.4912E-4
1151.4071, -4.8828125E-4
1199.9191, 9.765625E-4
1220.9651, 0.002130419
1247.7335, -9.765625E-4
1283.4248, 0.0024414062
1303.891, 0.0015776034
1324.4175, 6.710831E-4
1345.3318, 0.0031265097
1379.103, 0.0013020834
1424.1312, 0.0048828125
1447.1107, 0.001597421
1485.2582, 6.510417E-4
1536.1213, 0.001953125
1566.473, 0.001319819
1594.5376, -4.8828125E-4
1618.1089, 8.5233524E-4
1641.7122, 0.001953125
1688.9188, 9.765625E-4
1783.3322, 4.8828125E-4
1883.3322, 0.0
1918.2388, 0.0016960549
1952.4417, 0.0014648438
2000.0, 0.0
