Time (s), esn 1 surface potential difference wrt to esn ground(V)
25.700144, 1.9283303E-4
46.77397, 3.6145505E-4
67.848526, 0.0012207031
87.99266, 0.0011628486
113.2763, 0.0010424417
142.87262, 3.375945E-4
163.14868, 4.228087E-4
185.69318, 8.789062E-4
209.74063, -9.765625E-4
233.87848, 0.0026540512
258.01846, 0.0014648438
295.9383, 0.0025377085
333.8599, 0.00390625
357.7538, 0.0020062393
386.93024, 0.0013020834
425.83218, 0.0014648438
503.63602, 0.001953125
524.0031, 0.0017470652
549.57434, 0.0013020834
583.6693, 0.00390625
651.8592, 0.0
676.5516, 0.0021144499
701.12225, 0.005859375
750.2636, 0.0087890625
772.10223, 0.0028159043
793.94385, 0.005859375
837.6271, 0.00390625
860.9017, 0.0023953556
884.17773, 0.0068359375
930.72986, 0.00390625
1000.0, 9.765625E-4
1020.82025, 0.002914136
1041.5873, 0.002651652
1062.55, 0.0019879343
1100.9501, 0.0033203126
1141.91, 0.0048828125
1162.573, 0.002034306
1188.6028, 0.0015638601
1227.7349, 0.0022786458
1251.0522, 0.0027048965
1272.8507, -0.0014648438
1300.6718, 0.002073837
1327.6724, 6.9534924E-4
1363.4845, 0.0016444611
1397.6066, 0.0034179688
1419.1829, 6.568286E-4
1441.0295, -5.9225218E-5
1474.5421, 0.0017438616
1512.842, 9.765625E-4
1536.183, 7.6532643E-4
1595.8295, 3.2552084E-4
1624.7104, 7.6609425E-4
1647.3024, 4.8828125E-4
1692.4862, 0.0014648438
1782.854, 4.8828125E-4
1882.854, -0.0014648438
1917.7123, 0.0013127602
1952.592, 0.0024414062
1981.6946, 0.0013135942
