Time (s), esn 1 average surface potential (V), esn 1 ground potential (V), esn 1 min surface potential (V), esn 1 max surface potential (V)
25.513973, -575.756, -575.75616, -575.75616, -575.75616
47.94545, -1344.3262, -1344.3265, -1344.3265, -1344.3265
77.81673, -2900.499, -2900.4993, -2900.4993, -2900.4993
107.68806, -3212.4216, -3212.4229, -3212.4229, -3212.4229
134.89421, -4191.321, -4191.321, -4191.321, -4191.321
162.10179, -4446.4346, -4446.435, -4446.435, -4446.435
183.75162, -5243.076, -5243.0776, -5243.0776, -5243.0776
206.68947, -5601.369, -5601.368, -5601.368, -5601.368
249.46461, -6165.792, -6165.794, -6165.794, -6165.794
271.35352, -6750.7915, -6750.794, -6750.794, -6750.794
293.24402, -6878.0747, -6878.076, -6878.076, -6878.076
337.025, -7089.57, -7089.571, -7089.571, -7089.571
357.46384, -7686.3765, -7686.377, -7686.377, -7686.377
377.51654, -7801.207, -7801.208, -7801.208, -7801.208
416.7095, -8129.0205, -8129.0225, -8129.0225, -8129.0225
456.52457, -8303.842, -8303.842, -8303.842, -8303.842
494.06387, -8690.226, -8690.229, -8690.229, -8690.229
531.60596, -8832.079, -8832.079, -8832.079, -8832.079
567.555, -9195.759, -9195.76, -9195.76, -9195.76
598.53815, -9499.516, -9499.518, -9499.518, -9499.518
624.4727, -9599.036, -9599.043, -9599.043, -9599.043
676.34186, -9714.83, -9714.835, -9714.835, -9714.835
705.2622, -9912.03, -9912.035, -9912.035, -9912.035
737.564, -10126.869, -10126.872, -10126.872, -10126.872
769.86804, -10189.85, -10189.85, -10189.85, -10189.85
834.476, -10286.575, -10286.573, -10286.573, -10286.573
934.476, -10418.33, -10418.329, -10418.329, -10418.329
957.4048, -10720.685, -10720.688, -10720.688, -10720.688
980.33673, -10738.674, -10738.678, -10738.678, -10738.678
1000.63, -10755.799, -10755.8, -10755.8, -10755.8
1020.7864, -10490.007, -10490.008, -10490.008, -10490.008
1041.2104, -9728.57, -9728.574, -9728.574, -9728.574
1061.2699, -9040.804, -9040.806, -9040.806, -9040.806
1100.95, -8441.201, -8441.202, -8441.202, -8441.202
1127.1512, -7771.127, -7771.1274, -7771.1274, -7771.1274
1151.4071, -7503.7075, -7503.707, -7503.707, -7503.707
1199.9191, -7209.455, -7209.456, -7209.456, -7209.456
1220.9651, -6485.619, -6485.621, -6485.621, -6485.621
1247.7335, -6192.202, -6192.201, -6192.201, -6192.201
1283.4248, -5984.8794, -5984.882, -5984.882, -5984.882
1303.891, -5651.6387, -5651.6406, -5651.6406, -5651.6406
1324.4175, -5519.5522, -5519.5527, -5519.5527, -5519.5527
1345.3318, -5285.0586, -5285.062, -5285.062, -5285.062
1379.103, -5167.8687, -5167.87, -5167.87, -5167.87
1424.1312, -5061.5107, -5061.5156, -5061.5156, -5061.5156
1447.1107, -4802.711, -4802.7124, -4802.7124, -4802.7124
1485.2582, -4711.6274, -4711.628, -4711.628, -4711.628
1536.1213, -4654.324, -4654.326, -4654.326, -4654.326
1566.473, -4497.0366, -4497.0376, -4497.0376, -4497.0376
1594.5376, -4447.0107, -4447.0103, -4447.0103, -4447.0103
1618.1089, -4379.7056, -4379.7065, -4379.7065, -4379.7065
1641.7122, -4344.5083, -4344.5103, -4344.5103, -4344.5103
1688.9188, -4294.797, -4294.798, -4294.798, -4294.798
1783.3322, -4303.5366, -4303.537, -4303.537, -4303.537
1883.3322, -4288.3926, -4288.3926, -4288.3926, -4288.3926
1918.2388, -4119.9033, -4119.905, -4119.905, -4119.905
1952.4417, -4131.4307, -4131.432, -4131.432, -4131.432
2000.0, -4106.2183, -4106.2183, -4106.2183, -4106.2183
