Time (s), esn 1 average surface potential (V), esn 1 ground potential (V), esn 1 min surface potential (V), esn 1 max surface potential (V)
25.700144, -837.0398, -837.04, -837.04, -837.04
46.77397, -2356.3784, -2356.379, -2356.379, -2356.379
67.848526, -2595.584, -2595.5852, -2595.5852, -2595.5852
87.99266, -3144.3484, -3144.3496, -3144.3496, -3144.3496
113.2763, -3706.8374, -3706.8384, -3706.8384, -3706.8384
142.87262, -4420.457, -4420.4575, -4420.4575, -4420.4575
163.14868, -4947.4385, -4947.439, -4947.439, -4947.439
185.69318, -5295.7256, -5295.7266, -5295.7266, -5295.7266
209.74063, -5488.552, -5488.551, -5488.551, -5488.551
233.87848, -6072.94, -6072.9424, -6072.9424, -6072.9424
258.01846, -6252.693, -6252.6943, -6252.6943, -6252.6943
295.9383, -6720.3535, -6720.356, -6720.356, -6720.356
333.8599, -6955.727, -6955.731, -6955.731, -6955.731
357.7538, -7671.777, -7671.779, -7671.779, -7671.779
386.93024, -7948.8804, -7948.882, -7948.882, -7948.882
425.83218, -8116.182, -8116.1836, -8116.1836, -8116.1836
503.63602, -8385.807, -8385.809, -8385.809, -8385.809
524.0031, -8940.699, -8940.701, -8940.701, -8940.701
549.57434, -9144.937, -9144.9375, -9144.9375, -9144.9375
583.6693, -9227.584, -9227.588, -9227.588, -9227.588
651.8592, -9420.433, -9420.433, -9420.433, -9420.433
676.5516, -9793.52, -9793.521, -9793.521, -9793.521
701.12225, -9855.544, -9855.55, -9855.55, -9855.55
750.2636, -9935.175, -9935.184, -9935.184, -9935.184
772.10223, -10148.824, -10148.827, -10148.827, -10148.827
793.94385, -10181.6875, -10181.693, -10181.693, -10181.693
837.6271, -10258.179, -10258.183, -10258.183, -10258.183
860.9017, -10438.062, -10438.063, -10438.063, -10438.063
884.17773, -10460.461, -10460.468, -10460.468, -10460.468
930.72986, -10536.53, -10536.534, -10536.534, -10536.534
1000.0, -10648.693, -10648.694, -10648.694, -10648.694
1020.82025, -10587.815, -10587.818, -10587.818, -10587.818
1041.5873, -9836.329, -9836.331, -9836.331, -9836.331
1062.55, -9129.186, -9129.1875, -9129.1875, -9129.1875
1100.9501, -8539.418, -8539.421, -8539.421, -8539.421
1141.91, -8003.711, -8003.716, -8003.716, -8003.716
1162.573, -7164.1157, -7164.118, -7164.118, -7164.118
1188.6028, -6805.9077, -6805.909, -6805.909, -6805.909
1227.7349, -6462.454, -6462.456, -6462.456, -6462.456
1251.0522, -6011.3086, -6011.3115, -6011.3115, -6011.3115
1272.8507, -5857.363, -5857.3613, -5857.3613, -5857.3613
1300.6718, -5610.63, -5610.632, -5610.632, -5610.632
1327.6724, -5359.651, -5359.652, -5359.652, -5359.652
1363.4845, -5153.6543, -5153.6562, -5153.6562, -5153.6562
1397.6066, -5019.6787, -5019.682, -5019.682, -5019.682
1419.1829, -4894.5024, -4894.503, -4894.503, -4894.503
1441.0295, -4821.023, -4821.023, -4821.023, -4821.023
1474.5421, -4663.668, -4663.6694, -4663.6694, -4663.6694
1512.842, -4580.316, -4580.317, -4580.317, -4580.317
1536.183, -4415.67, -4415.671, -4415.671, -4415.671
1595.8295, -4414.2886, -4414.289, -4414.289, -4414.289
1624.7104, -4362.823, -4362.8237, -4362.8237, -4362.8237
1647.3024, -4316.8604, -4316.861, -4316.861, -4316.861
1692.4862, -4272.11, -4272.1113, -4272.1113, -4272.1113
1782.854, -4257.648, -4257.6484, -4257.6484, -4257.6484
1882.854, -4231.6904, -4231.689, -4231.689, -4231.689
1917.7123, -4169.3735, -4169.375, -4169.375, -4169.375
1952.592, -4193.832, -4193.8345, -4193.8345, -4193.8345
1981.6946, -4122.616, -4122.617, -4122.617, -4122.617
