Energy (in eV), backscattering yield of material CERS-withBUCT at incidence 30.0 degree
   X,       Y
0.0, 0.5486563
10.0, 0.23077585
20.0, 0.097068936
30.0, 0.04082914
40.0, 0.017173555
50.0, 0.007223541
60.0, 0.02447227
70.0, 0.03896557
80.0, 0.05136106
90.0, 0.062087927
100.0, 0.07149324
110.0, 0.07984379
120.0, 0.08734044
130.0, 0.0941346
140.0, 0.10034179
150.0, 0.10605155
160.0, 0.111334465
170.0, 0.11624715
180.0, 0.1208356
190.0, 0.12513778
200.0, 0.12918529
210.0, 0.13300483
220.0, 0.13661906
230.0, 0.14004743
240.0, 0.14330678
250.0, 0.14641175
260.0, 0.14937513
270.0, 0.15220821
280.0, 0.154921
290.0, 0.15752235
300.0, 0.16002025
310.0, 0.16242178
320.0, 0.1647334
330.0, 0.16696084
340.0, 0.16910942
350.0, 0.17118385
360.0, 0.17318857
370.0, 0.1751275
380.0, 0.17700432
390.0, 0.1788224
400.0, 0.18058485
410.0, 0.18229446
420.0, 0.18395397
430.0, 0.18556578
440.0, 0.18713215
450.0, 0.18865526
460.0, 0.190137
470.0, 0.19157928
480.0, 0.19298384
490.0, 0.19435225
500.0, 0.19568604
510.0, 0.19698662
520.0, 0.19825532
530.0, 0.19949344
540.0, 0.20070212
550.0, 0.20188251
560.0, 0.20303565
570.0, 0.20416255
580.0, 0.20526415
590.0, 0.20634133
600.0, 0.20739497
610.0, 0.20842586
620.0, 0.20943476
630.0, 0.21042246
640.0, 0.21138954
650.0, 0.21233673
660.0, 0.2132647
670.0, 0.21417396
680.0, 0.21506517
690.0, 0.21593879
700.0, 0.21679543
710.0, 0.21763553
720.0, 0.21845962
730.0, 0.2192681
740.0, 0.22006147
750.0, 0.2208401
760.0, 0.22160444
770.0, 0.22235483
780.0, 0.22309169
790.0, 0.22381538
800.0, 0.22452624
810.0, 0.22522457
820.0, 0.22591068
830.0, 0.22658496
840.0, 0.22724761
850.0, 0.22789901
860.0, 0.22853936
870.0, 0.22916897
880.0, 0.2297881
890.0, 0.23039691
900.0, 0.23099577
910.0, 0.23158485
920.0, 0.23216435
930.0, 0.23273456
940.0, 0.23329559
950.0, 0.23384772
960.0, 0.23439111
970.0, 0.23492597
980.0, 0.2354525
990.0, 0.23597084
1000.0, 0.23648116
1010.0, 0.23630409
1020.0, 0.23612733
1030.0, 0.23595092
1040.0, 0.23577484
1050.0, 0.2355991
1060.0, 0.23542368
1070.0, 0.23524858
1080.0, 0.23507383
1090.0, 0.2348994
1100.0, 0.2347253
1110.0, 0.23455153
1120.0, 0.23437808
1130.0, 0.23420496
1140.0, 0.23403217
1150.0, 0.23385972
1160.0, 0.23368756
1170.0, 0.23351574
1180.0, 0.23334426
1190.0, 0.23317309
1200.0, 0.23300223
1210.0, 0.23283172
1220.0, 0.2326615
1230.0, 0.23249163
1240.0, 0.23232207
1250.0, 0.2321528
1260.0, 0.23198389
1270.0, 0.23181528
1280.0, 0.231647
1290.0, 0.23147903
1300.0, 0.23131137
1310.0, 0.23114404
1320.0, 0.23097701
1330.0, 0.23081031
1340.0, 0.23064391
1350.0, 0.23047784
1360.0, 0.23031206
1370.0, 0.23014662
1380.0, 0.22998148
1390.0, 0.22981666
1400.0, 0.22965214
1410.0, 0.22948793
1420.0, 0.22932403
1430.0, 0.22916044
1440.0, 0.22899717
1450.0, 0.2288342
1460.0, 0.22867154
1470.0, 0.22850919
1480.0, 0.22834714
1490.0, 0.22818539
1500.0, 0.22802395
1510.0, 0.22786282
1520.0, 0.22770198
1530.0, 0.22754146
1540.0, 0.22738124
1550.0, 0.22722133
1560.0, 0.22706172
1570.0, 0.2269024
1580.0, 0.22674339
1590.0, 0.22658466
1600.0, 0.22642624
1610.0, 0.22626814
1620.0, 0.22611032
1630.0, 0.2259528
1640.0, 0.22579558
1650.0, 0.22563867
1660.0, 0.22548205
1670.0, 0.22532572
1680.0, 0.22516967
1690.0, 0.22501394
1700.0, 0.22485851
1710.0, 0.22470336
1720.0, 0.22454849
1730.0, 0.22439393
1740.0, 0.22423966
1750.0, 0.22408569
1760.0, 0.223932
1770.0, 0.2237786
1780.0, 0.2236255
1790.0, 0.22347268
1800.0, 0.22332014
1810.0, 0.22316793
1820.0, 0.22301596
1830.0, 0.2228643
1840.0, 0.22271293
1850.0, 0.22256184
1860.0, 0.22241104
1870.0, 0.22226052
1880.0, 0.22211029
1890.0, 0.22196034
1900.0, 0.22181067
1910.0, 0.2216613
1920.0, 0.22151218
1930.0, 0.22136338
1940.0, 0.22121485
1950.0, 0.22106661
1960.0, 0.22091863
1970.0, 0.22077093
1980.0, 0.22062352
1990.0, 0.22047639
2000.0, 0.22032954
2010.0, 0.22018297
2020.0, 0.22003667
2030.0, 0.21989065
2040.0, 0.21974492
2050.0, 0.21959944
2060.0, 0.21945426
2070.0, 0.21930933
2080.0, 0.21916468
2090.0, 0.21902032
2100.0, 0.21887623
2110.0, 0.2187324
2120.0, 0.21858887
2130.0, 0.21844558
2140.0, 0.2183026
2150.0, 0.21815985
2160.0, 0.2180174
2170.0, 0.21787521
2180.0, 0.2177333
2190.0, 0.21759164
2200.0, 0.21745026
2210.0, 0.21730915
2220.0, 0.21716829
2230.0, 0.21702771
2240.0, 0.21688741
2250.0, 0.21674736
2260.0, 0.21660759
2270.0, 0.21646807
2280.0, 0.21632881
2290.0, 0.21618983
2300.0, 0.21605112
2310.0, 0.21591265
2320.0, 0.21577446
2330.0, 0.21563654
2340.0, 0.21549886
2350.0, 0.21536145
2360.0, 0.21522431
2370.0, 0.21508741
2380.0, 0.21495079
2390.0, 0.21481441
2400.0, 0.21467832
2410.0, 0.21454246
2420.0, 0.21440688
2430.0, 0.21427155
2440.0, 0.21413647
2450.0, 0.21400164
2460.0, 0.21386708
2470.0, 0.21373278
2480.0, 0.21359871
2490.0, 0.21346492
2500.0, 0.21333137
2510.0, 0.2131981
2520.0, 0.21306504
2530.0, 0.21293226
2540.0, 0.21279973
2550.0, 0.21266745
2560.0, 0.21253544
