Energy (in eV), backscattering yield of material CERS-withBUCT at isotropic incidence
   X,       Y
0.0, 0.63867396
10.0, 0.35205287
20.0, 0.20683554
30.0, 0.12950352
40.0, 0.08606911
50.0, 0.06031428
60.0, 0.10102925
70.0, 0.12649427
80.0, 0.14572842
90.0, 0.16118419
100.0, 0.17406797
110.0, 0.18508889
120.0, 0.19470127
130.0, 0.2032128
140.0, 0.2108409
150.0, 0.21774454
160.0, 0.22404341
170.0, 0.2298299
180.0, 0.23517667
190.0, 0.24014203
200.0, 0.24477343
210.0, 0.24911006
220.0, 0.2531846
230.0, 0.25702453
240.0, 0.26065344
250.0, 0.2640914
260.0, 0.26735583
270.0, 0.27046186
280.0, 0.2734228
290.0, 0.27625027
300.0, 0.27895465
310.0, 0.28154513
320.0, 0.2840299
330.0, 0.28641638
340.0, 0.28871113
350.0, 0.29092014
360.0, 0.29304886
370.0, 0.29510227
380.0, 0.29708478
390.0, 0.29900053
400.0, 0.3008533
410.0, 0.30264655
420.0, 0.30438346
430.0, 0.30606702
440.0, 0.30769983
450.0, 0.30928454
460.0, 0.31082338
470.0, 0.3123186
480.0, 0.3137722
490.0, 0.3151861
500.0, 0.31656203
510.0, 0.3179016
520.0, 0.31920648
530.0, 0.32047805
540.0, 0.32171762
550.0, 0.32292658
560.0, 0.32410607
570.0, 0.32525727
580.0, 0.3263813
590.0, 0.327479
600.0, 0.32855153
610.0, 0.3295997
620.0, 0.3306244
630.0, 0.33162647
640.0, 0.33260664
650.0, 0.33356565
660.0, 0.33450428
670.0, 0.3354231
680.0, 0.33632287
690.0, 0.33720407
700.0, 0.33806735
710.0, 0.33891326
720.0, 0.33974233
730.0, 0.340555
740.0, 0.3413519
750.0, 0.34213334
760.0, 0.34289983
770.0, 0.3436518
780.0, 0.34438968
790.0, 0.34511384
800.0, 0.34582463
810.0, 0.34652242
820.0, 0.34720758
830.0, 0.34788045
840.0, 0.3485413
850.0, 0.3491905
860.0, 0.3498283
870.0, 0.35045502
880.0, 0.35107094
890.0, 0.3516763
900.0, 0.35227132
910.0, 0.35285637
920.0, 0.3534316
930.0, 0.35399723
940.0, 0.35455355
950.0, 0.3551007
960.0, 0.35563892
970.0, 0.35616848
980.0, 0.35668948
990.0, 0.35720214
1000.0, 0.35770664
1010.0, 0.3575316
1020.0, 0.35735688
1030.0, 0.35718247
1040.0, 0.35700834
1050.0, 0.3568345
1060.0, 0.35666093
1070.0, 0.35648772
1080.0, 0.35631478
1090.0, 0.35614213
1100.0, 0.35596982
1110.0, 0.3557978
1120.0, 0.35562602
