Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 40.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.029909687
70.0, 0.047783084
80.0, 0.061670408
90.0, 0.07312805
100.0, 0.08289868
110.0, 0.091415666
120.0, 0.09895959
130.0, 0.10572442
140.0, 0.111850545
150.0, 0.1174432
160.0, 0.12258339
170.0, 0.12733495
180.0, 0.13174903
190.0, 0.13586731
200.0, 0.13972422
210.0, 0.1433485
220.0, 0.14676446
230.0, 0.14999272
240.0, 0.15305105
250.0, 0.15595482
260.0, 0.1587174
270.0, 0.1613505
280.0, 0.16386446
290.0, 0.16626845
300.0, 0.16857058
310.0, 0.17077814
320.0, 0.17289767
330.0, 0.174935
340.0, 0.17689548
350.0, 0.17878392
360.0, 0.18060473
370.0, 0.18236187
380.0, 0.184059
390.0, 0.1856995
400.0, 0.18728644
410.0, 0.18882261
420.0, 0.19031073
430.0, 0.19175316
440.0, 0.19315216
450.0, 0.19450983
460.0, 0.1958281
470.0, 0.19710878
480.0, 0.19835357
490.0, 0.19956405
500.0, 0.2007417
510.0, 0.20188789
520.0, 0.20300393
530.0, 0.20409106
540.0, 0.20515038
550.0, 0.20618308
560.0, 0.20719007
570.0, 0.20817235
580.0, 0.20913091
590.0, 0.21006651
600.0, 0.21098001
610.0, 0.21187222
620.0, 0.21274382
630.0, 0.21359557
640.0, 0.2144281
650.0, 0.21524201
660.0, 0.21603799
670.0, 0.21681653
680.0, 0.21757823
690.0, 0.21832362
700.0, 0.21905316
710.0, 0.21976735
720.0, 0.22046667
730.0, 0.2211515
740.0, 0.22182232
750.0, 0.22247948
760.0, 0.22312339
770.0, 0.22375444
780.0, 0.22437295
790.0, 0.2249793
800.0, 0.22557375
810.0, 0.22615667
820.0, 0.22672835
830.0, 0.22728908
840.0, 0.22783913
850.0, 0.22837879
860.0, 0.22890832
870.0, 0.22942795
880.0, 0.22993794
890.0, 0.23043849
900.0, 0.2309299
910.0, 0.23141232
920.0, 0.23188597
930.0, 0.23235108
940.0, 0.23280783
950.0, 0.2332564
960.0, 0.233697
970.0, 0.23412979
980.0, 0.23455495
990.0, 0.23497266
1000.0, 0.23538303
1010.0, 0.23518808
1020.0, 0.23499347
1030.0, 0.2347992
