Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.089839935
70.0, 0.11500045
80.0, 0.13274789
90.0, 0.146645
100.0, 0.15809906
110.0, 0.16784246
120.0, 0.17631364
130.0, 0.18379867
140.0, 0.19049574
150.0, 0.19654825
160.0, 0.20206349
170.0, 0.207124
180.0, 0.21179461
190.0, 0.21612723
200.0, 0.2201641
210.0, 0.22394004
220.0, 0.22748409
230.0, 0.23082069
240.0, 0.23397067
250.0, 0.23695192
260.0, 0.23977983
270.0, 0.24246784
280.0, 0.24502769
290.0, 0.24746974
300.0, 0.24980313
310.0, 0.252036
320.0, 0.25417563
330.0, 0.25622848
340.0, 0.2582005
350.0, 0.26009685
360.0, 0.26192245
370.0, 0.26368165
380.0, 0.26537833
390.0, 0.26701617
400.0, 0.26859856
410.0, 0.2701284
420.0, 0.27160868
430.0, 0.2730419
440.0, 0.27443048
450.0, 0.27577665
460.0, 0.27708244
470.0, 0.27834985
480.0, 0.27958056
490.0, 0.28077632
500.0, 0.28193867
510.0, 0.28306904
520.0, 0.2841688
530.0, 0.28523928
540.0, 0.28628162
550.0, 0.287297
560.0, 0.28828648
570.0, 0.289251
580.0, 0.29019165
590.0, 0.29110917
600.0, 0.2920045
610.0, 0.29287842
620.0, 0.2937317
630.0, 0.29456508
640.0, 0.29537922
650.0, 0.29617473
660.0, 0.2969523
670.0, 0.2977125
680.0, 0.29845586
690.0, 0.299183
700.0, 0.2998944
710.0, 0.30059043
720.0, 0.3012717
730.0, 0.3019386
740.0, 0.3025916
750.0, 0.30323103
760.0, 0.30385733
770.0, 0.3044709
780.0, 0.30507204
790.0, 0.30566114
800.0, 0.3062385
810.0, 0.30680448
820.0, 0.30735934
830.0, 0.30790338
840.0, 0.30843693
850.0, 0.3089602
860.0, 0.3094735
870.0, 0.30997705
880.0, 0.31047115
890.0, 0.3109559
900.0, 0.31143174
910.0, 0.31189868
920.0, 0.31235707
930.0, 0.31280702
940.0, 0.3132488
950.0, 0.31368256
960.0, 0.31410852
970.0, 0.3145268
980.0, 0.31493765
990.0, 0.31534114
1000.0, 0.31573752
1010.0, 0.31554922
1020.0, 0.31536126
1030.0, 0.31517363
1040.0, 0.3149863
