Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.014364754
70.0, 0.026487797
80.0, 0.03696876
90.0, 0.046194557
100.0, 0.054429512
110.0, 0.061862223
120.0, 0.068632
130.0, 0.07484469
140.0, 0.08058262
150.0, 0.085911065
160.0, 0.09088267
170.0, 0.09554052
180.0, 0.09992032
190.0, 0.104051985
200.0, 0.10796085
210.0, 0.11166853
220.0, 0.11519366
230.0, 0.11855234
240.0, 0.12175869
250.0, 0.12482507
260.0, 0.12776235
270.0, 0.13058026
280.0, 0.13328739
290.0, 0.1358915
300.0, 0.13839948
310.0, 0.14081764
320.0, 0.14315163
330.0, 0.14540657
340.0, 0.14758721
350.0, 0.14969774
360.0, 0.15174216
370.0, 0.15372403
380.0, 0.15564665
390.0, 0.15751313
400.0, 0.15932626
410.0, 0.16108865
420.0, 0.16280274
430.0, 0.1644708
440.0, 0.16609493
450.0, 0.16767707
460.0, 0.16921908
470.0, 0.17072265
480.0, 0.17218943
490.0, 0.17362091
500.0, 0.1750185
510.0, 0.17638353
520.0, 0.17771727
530.0, 0.17902093
540.0, 0.18029557
550.0, 0.18154232
560.0, 0.18276215
570.0, 0.18395598
580.0, 0.18512478
590.0, 0.18626933
600.0, 0.18739049
610.0, 0.18848903
620.0, 0.18956566
630.0, 0.19062112
640.0, 0.19165602
650.0, 0.19267103
660.0, 0.19366677
670.0, 0.1946438
680.0, 0.19560267
690.0, 0.19654395
700.0, 0.19746812
710.0, 0.19837561
720.0, 0.199267
730.0, 0.20014267
740.0, 0.20100306
750.0, 0.20184855
760.0, 0.20267957
770.0, 0.20349653
780.0, 0.20429975
790.0, 0.20508958
800.0, 0.20586641
810.0, 0.20663051
820.0, 0.20738219
830.0, 0.20812182
840.0, 0.20884962
850.0, 0.20956591
860.0, 0.21027097
870.0, 0.21096504
880.0, 0.21164839
890.0, 0.21232122
900.0, 0.21298385
910.0, 0.21363644
920.0, 0.21427926
930.0, 0.21491249
940.0, 0.21553634
950.0, 0.21615103
960.0, 0.21675676
970.0, 0.2173537
980.0, 0.21794206
990.0, 0.21852197
1000.0, 0.21909365
1010.0, 0.21893007
1020.0, 0.21876681
1030.0, 0.21860388
