Energy (in eV), backscattering yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.10272656
70.0, 0.13308375
80.0, 0.1546929
90.0, 0.17171122
100.0, 0.18579738
110.0, 0.19782078
120.0, 0.20830454
130.0, 0.21759157
140.0, 0.22592019
150.0, 0.2334633
160.0, 0.24035063
170.0, 0.24668214
180.0, 0.2525365
190.0, 0.25797683
200.0, 0.26305455
210.0, 0.26781198
220.0, 0.27228466
230.0, 0.2765024
240.0, 0.28049067
250.0, 0.28427133
260.0, 0.28786322
270.0, 0.29128283
280.0, 0.29454452
290.0, 0.29766104
300.0, 0.30064353
310.0, 0.30350205
320.0, 0.3062455
330.0, 0.30888188
340.0, 0.31141847
350.0, 0.3138616
360.0, 0.31621733
370.0, 0.31849098
380.0, 0.32068738
390.0, 0.3228111
400.0, 0.32486618
410.0, 0.3268564
420.0, 0.3287852
430.0, 0.33065584
440.0, 0.33247125
450.0, 0.33423415
460.0, 0.33594707
470.0, 0.3376124
480.0, 0.33923241
490.0, 0.34080908
500.0, 0.3423444
510.0, 0.3438401
520.0, 0.34529784
530.0, 0.34671932
540.0, 0.34810594
550.0, 0.3494591
560.0, 0.35078022
570.0, 0.3520704
580.0, 0.3533309
590.0, 0.35456276
600.0, 0.3557671
610.0, 0.35694492
620.0, 0.35809708
630.0, 0.35922456
640.0, 0.36032817
650.0, 0.36140862
660.0, 0.36246687
670.0, 0.36350352
680.0, 0.3645193
690.0, 0.3655149
700.0, 0.3664909
710.0, 0.3674479
720.0, 0.3683865
730.0, 0.3693073
740.0, 0.3702108
750.0, 0.37109742
760.0, 0.37196773
770.0, 0.37282223
780.0, 0.37366128
790.0, 0.3744853
800.0, 0.3752948
810.0, 0.37609008
820.0, 0.37687153
830.0, 0.3776396
840.0, 0.3783945
850.0, 0.3791367
860.0, 0.37986642
870.0, 0.38058406
880.0, 0.38128987
890.0, 0.3819841
900.0, 0.38266715
910.0, 0.38333917
920.0, 0.3840005
930.0, 0.3846514
940.0, 0.38529202
950.0, 0.3859227
960.0, 0.3865436
970.0, 0.38715497
980.0, 0.38775703
990.0, 0.38834995
1000.0, 0.38893393
1010.0, 0.38876688
1020.0, 0.38860014
1030.0, 0.38843367
