Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.513973, 0.0
47.94545, 0.0
77.81673, 0.0
107.68806, 0.0
134.89421, 0.0
162.10179, 0.0
183.75162, 0.0
206.68947, 0.0
249.46461, 0.0
271.35352, 0.0
293.24402, 0.0
337.025, 0.0
357.46384, 0.0
377.51654, 0.0
416.7095, 0.0
456.52457, 0.0
494.06387, 0.0
531.60596, 0.0
567.555, 0.0
598.53815, 0.0
624.4727, 0.0
676.34186, 0.0
705.2622, 0.0
737.564, 0.0
769.86804, 0.0
834.476, 0.0
934.476, 0.0
957.4048, 0.0
980.33673, 0.0
1000.63, 0.0
1020.7864, 0.0
1041.2104, 0.0
1061.2699, 0.0
1100.95, 0.0
1127.1512, 0.0
1151.4071, 0.0
1199.9191, 0.0
1220.9651, 0.0
1247.7335, 0.0
1283.4248, 0.0
1303.891, 0.0
1324.4175, 0.0
1345.3318, 0.0
1379.103, 0.0
1424.1312, 0.0
1447.1107, 0.0
1485.2582, 0.0
1536.1213, 0.0
1566.473, 0.0
1594.5376, 0.0
1618.1089, 0.0
1641.7122, 0.0
1688.9188, 0.0
1783.3322, 0.0
1883.3322, 0.0
1918.2388, 0.0
1952.4417, 0.0
2000.0, 0.0
