Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.513973, 0.0
47.94545, 0.0
77.81673, 0.0
107.68806, 0.0
134.89421, 0.0
162.10179, 0.0
183.75162, 0.0
206.68947, 0.0
249.46461, 0.0
271.35352, 0.0
293.24402, 0.0
337.025, 0.0
357.46384, 0.0
377.51654, 0.0
416.7095, 0.0
456.52457, 0.0
494.06387, 0.0
531.60596, 0.0
567.555, 0.0
598.53815, 0.0
624.4727, 0.0
676.34186, 0.0
705.2622, 0.0
737.564, 0.0
769.86804, 0.0
834.476, 0.0
934.476, 0.0
957.4048, 0.0
980.33673, 0.0
1000.63, 0.0
1020.7864, 316014.03
1041.2104, 3096859.8
1061.2699, 1.091456E7
1100.95, 1.3404716E7
1127.1512, 597632.5
1151.4071, 4.24252928E8
1199.9191, 4.60241536E8
1220.9651, 475841.6
1247.7335, 1.35258864E8
1283.4248, 4.13464256E8
1303.891, 1635761.4
1324.4175, 3.66020608E8
1345.3318, 2.5272268E7
1379.103, 1.24849064E8
1424.1312, 4.06900256E8
1447.1107, 1722579.6
1485.2582, 1.31930176E8
1536.1213, 3.94620768E8
1566.473, 7120354.5
1594.5376, 3.78910528E8
1618.1089, 9.7576096E7
1641.7122, 3.6768288E8
1688.9188, 3.775256E8
1783.3322, 3.83505856E8
1883.3322, 3.9482032E8
1918.2388, 1911032.1
1952.4417, 3.5792048E8
2000.0, 3.7294864E8
