Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.700144, 0.0
46.77397, 0.0
67.848526, 0.0
87.99266, 0.0
113.2763, 0.0
142.87262, 0.0
163.14868, 0.0
185.69318, 0.0
209.74063, 0.0
233.87848, 0.0
258.01846, 0.0
295.9383, 0.0
333.8599, 0.0
357.7538, 0.0
386.93024, 0.0
425.83218, 0.0
503.63602, 0.0
524.0031, 0.0
549.57434, 0.0
583.6693, 0.0
651.8592, 0.0
676.5516, 0.0
701.12225, 0.0
750.2636, 0.0
772.10223, 0.0
793.94385, 0.0
837.6271, 0.0
860.9017, 0.0
884.17773, 0.0
930.72986, 0.0
1000.0, 0.0
1020.82025, 0.0
1041.5873, 1.2593674E7
1062.55, 1824403.4
1100.9501, 2.7576382E7
1141.91, 4.2728064E8
1162.573, 594640.94
1188.6028, 1.85435248E8
1227.7349, 1.39922112E8
1251.0522, 1845322.0
1272.8507, 4.1115648E8
1300.6718, 2413066.0
1327.6724, 4768286.5
1363.4845, 9692357.0
1397.6066, 4.06910336E8
1419.1829, 2.8266134E7
1441.0295, 3.00479616E8
1474.5421, 5.3864616E7
1512.842, 3.83716672E8
1536.183, 7702531.0
1595.8295, 1.26666792E8
1624.7104, 6.3774E7
1647.3024, 3.59323968E8
1692.4862, 3.66267808E8
1782.854, 3.86032192E8
1882.854, 3.94528064E8
1917.7123, 2.496564E7
1952.592, 3.93384384E8
1981.6946, 6.5322648E7
