Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.513973, 0.0
47.94545, 3.4253696E8
77.81673, 659095.44
107.68806, 8.5638112E7
134.89421, 6.1624503
162.10179, 1.0961108E7
183.75162, 786834.4
206.68947, 1.51818288E8
249.46461, 5.35133E7
271.35352, 137883.88
293.24402, 4.47487552E8
337.025, 2.73252E8
357.46384, 284024.78
377.51654, 6.5824644E7
416.7095, 1.7955428E7
456.52457, 3.74995168E8
494.06387, 1806864.2
531.60596, 3.19350464E8
567.555, 108807.48
598.53815, 1384613.8
624.4727, 1.51885146E9
676.34186, 1.14948024E8
705.2622, 6172596.0
737.564, 135699.22
769.86804, 4.6003724E7
834.476, 6.008616E7
934.476, 2.17626352E8
957.4048, 2313306.2
980.33673, 1.01354E8
1000.63, 3.6168828E7
1020.7864, 2383879.0
1041.2104, 5504351.0
1061.2699, 2845680.0
1100.95, 1.6878504E7
1127.1512, 177537.95
1151.4071, 7.275652E7
1199.9191, 4.15438976E8
1220.9651, 320648.75
1247.7335, 2.5256748E7
1283.4248, 175.48172
1303.891, 252960.98
1324.4175, 1.13107904E9
1345.3318, 1.8993974E7
1379.103, 2.4265552E7
1424.1312, 4.749974E7
1447.1107, 1117763.8
1485.2582, 4.9408624E8
1536.1213, 1185.486
1566.473, 24.108273
1594.5376, 1.26829536E8
1618.1089, 2.0615594E7
1641.7122, 2.22354384E8
1688.9188, 9.6225638E8
1783.3322, 3.24980096E8
1883.3322, 2445.2004
1918.2388, 7.7109394
1952.4417, 7.2216563E8
2000.0, 3507.4917
