Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.700144, 0.0
46.77397, 443771.16
67.848526, 3.05558528E8
87.99266, 420946.7
113.2763, 744145.2
142.87262, 792576.56
163.14868, 284380.34
185.69318, 5.684814E7
209.74063, 3.7472796E7
233.87848, 106045.64
258.01846, 5.8865907E8
295.9383, 122031.32
333.8599, 9.8486355E8
357.7538, 495383.7
386.93024, 3.3962164E7
425.83218, 2.12291376E8
503.63602, 3.47191328E8
524.0031, 476932.78
549.57434, 1.52749408E8
583.6693, 2.44176E7
651.8592, 5.6452116E7
676.5516, 0.0017363778
701.12225, 6.2137171E8
750.2636, 1.13119272E8
772.10223, 2022843.9
793.94385, 5566655.0
837.6271, 6.783639E8
860.9017, 5957810.5
884.17773, 1.631812E8
930.72986, 0.20160347
1000.0, 8.55336E8
1020.82025, 92532.13
1041.5873, 1.2899138E7
1062.55, 5604089.0
1100.9501, 1.9886232E7
1141.91, 7.073861
1162.573, 477867.6
1188.6028, 1.47412384E8
1227.7349, 5.6751064E7
1251.0522, 190762.0
1272.8507, 2.05901811E9
1300.6718, 2256045.8
1327.6724, 3.9272215
1363.4845, 2.3858968E7
1397.6066, 3.18253152E8
1419.1829, 3124209.5
1441.0295, 1.592308E8
1474.5421, 3.8306712E7
1512.842, 1.74947632E8
1536.183, 1822316.5
1595.8295, 3.6460128E7
1624.7104, 5354886.0
1647.3024, 1.91505232E8
1692.4862, 2739.0522
1782.854, 9.6662266E8
1882.854, 1.10987277E9
1917.7123, 3.1739562E7
1952.592, 7.694727E8
1981.6946, 9.6329096E7
