Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.513973, 0.0
47.94545, 1.1123344E8
77.81673, 492461.94
107.68806, 3.03300448E8
134.89421, 256137.0
162.10179, 3.33222208E8
183.75162, 591570.4
206.68947, 2.56537152E8
249.46461, 5.2325372E7
271.35352, 702971.44
293.24402, 3.77593056E8
337.025, 3.53453792E8
357.46384, 1131992.9
377.51654, 3.75089984E8
416.7095, 6441263.5
456.52457, 3.69572736E8
494.06387, 739529.2
531.60596, 3.72034496E8
567.555, 642239.06
598.53815, 1748695.5
624.4727, 3.72260032E8
676.34186, 3.60966624E8
705.2622, 2807548.5
737.564, 688908.7
769.86804, 3.55432064E8
834.476, 3.63213824E8
934.476, 3.43731488E8
957.4048, 1160310.6
980.33673, 3.84974272E8
1000.63, 3.56998944E8
1020.7864, 1.1710599E7
1041.2104, 4036364.8
1061.2699, 8630136.0
1100.95, 7842485.5
1127.1512, 312986.38
1151.4071, 2.24265072E8
1199.9191, 2.2643384E8
1220.9651, 234496.48
1247.7335, 7.4448608E7
1283.4248, 2.19202816E8
1303.891, 838326.0
1324.4175, 1.89162016E8
1345.3318, 1.4111487E7
1379.103, 7.217644E7
1424.1312, 2.22040112E8
1447.1107, 914134.8
1485.2582, 7.102928E7
1536.1213, 2.10304672E8
1566.473, 3951443.0
1594.5376, 2.06551552E8
1618.1089, 5.3049308E7
1641.7122, 2.04778784E8
1688.9188, 2.19070976E8
1783.3322, 2.09762496E8
1883.3322, 2.15587904E8
1918.2388, 1011031.5
1952.4417, 2.01176672E8
2000.0, 2.08626512E8
