Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.700144, 0.0
46.77397, 174764.69
67.848526, 2.62426464E8
87.99266, 491616.03
113.2763, 4824765.5
142.87262, 594658.5
163.14868, 579637.25
185.69318, 2.455485E7
209.74063, 3.59029152E8
233.87848, 658901.3
258.01846, 3.86015936E8
295.9383, 349213.22
333.8599, 3.7167072E8
357.7538, 568340.25
386.93024, 1.27916952E8
425.83218, 3.6674096E8
503.63602, 3.70461952E8
524.0031, 808272.3
549.57434, 1.27630968E8
583.6693, 3.55406496E8
651.8592, 3.8114944E8
676.5516, 1028116.56
701.12225, 3.57458048E8
750.2636, 3.70351392E8
772.10223, 1340837.2
793.94385, 4.07340192E8
837.6271, 3.6113232E8
860.9017, 2585470.2
884.17773, 3.75054272E8
930.72986, 3.62032928E8
1000.0, 3.67031968E8
1020.82025, 165903.9
1041.5873, 1.5844767E7
1062.55, 1205272.9
1100.9501, 1.4291283E7
1141.91, 2.45032464E8
1162.573, 317828.3
1188.6028, 1.03378112E8
1227.7349, 7.6478768E7
1251.0522, 1039443.56
1272.8507, 2.21500576E8
1300.6718, 1379876.8
1327.6724, 2560748.5
1363.4845, 4927747.5
1397.6066, 2.24830048E8
1419.1829, 1.4633313E7
1441.0295, 1.763352E8
1474.5421, 2.9631868E7
1512.842, 2.24097984E8
1536.183, 4445468.0
1595.8295, 7.0091936E7
1624.7104, 3.5844748E7
1647.3024, 2.08368352E8
1692.4862, 1.9520976E8
1782.854, 2.07340032E8
1882.854, 2.14237328E8
1917.7123, 1.3366382E7
1952.592, 2.01591056E8
1981.6946, 3.6602816E7
