Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.513973, 0.0
47.94545, 1.5842052E7
77.81673, 94275.664
107.68806, 5.0753144E7
134.89421, 47642.87
162.10179, 6.6717596E7
183.75162, 112333.66
206.68947, 5.9817284E7
249.46461, 1.2718358E7
271.35352, 171608.0
293.24402, 1.1010596E8
337.025, 1.04985264E8
357.46384, 341410.16
377.51654, 1.22736024E8
416.7095, 1952904.4
456.52457, 1.25761136E8
494.06387, 231836.45
531.60596, 1.4679392E8
567.555, 240295.19
598.53815, 708556.6
624.4727, 1.49048912E8
676.34186, 1.49033024E8
705.2622, 1170808.0
737.564, 286536.03
769.86804, 1.63674688E8
834.476, 1.65420768E8
934.476, 1.61457056E8
957.4048, 621715.2
980.33673, 1.7836824E8
1000.63, 1.58987392E8
1020.7864, 5670040.0
1041.2104, 2411680.5
1061.2699, 4467314.0
1100.95, 3862627.2
1127.1512, 163510.19
1151.4071, 1.13616032E8
1199.9191, 1.07103328E8
1220.9651, 99673.87
1247.7335, 2.9258448E7
1283.4248, 8.3420032E7
1303.891, 331108.03
1324.4175, 6.9049688E7
1345.3318, 5040051.5
1379.103, 2.291262E7
1424.1312, 7.0660512E7
1447.1107, 285239.97
1485.2582, 2.183947E7
1536.1213, 6.7017044E7
1566.473, 1165775.6
1594.5376, 5.9161532E7
1618.1089, 1.5641451E7
1641.7122, 6.430366E7
1688.9188, 6.217224E7
1783.3322, 6.3664896E7
1883.3322, 6.098406E7
1918.2388, 293934.9
1952.4417, 6.2647368E7
2000.0, 6.0108244E7
