Time s, Total volumic energy [kinetic plus potential]m-3.eV
25.700144, 0.0
46.77397, 25314.494
67.848526, 4.2716728E7
87.99266, 82696.44
113.2763, 936013.75
142.87262, 114660.99
163.14868, 124693.91
185.69318, 5724346.5
209.74063, 7.9584744E7
233.87848, 163163.05
258.01846, 9.0548768E7
295.9383, 98271.39
333.8599, 1.07783592E8
357.7538, 153407.62
386.93024, 4.1923924E7
425.83218, 1.19704192E8
503.63602, 1.23557328E8
524.0031, 278533.1
549.57434, 4.7473892E7
583.6693, 1.41477904E8
651.8592, 1.51790624E8
676.5516, 402816.03
701.12225, 1.60729728E8
750.2636, 1.69086288E8
772.10223, 509608.06
793.94385, 1.5062272E8
837.6271, 1.536176E8
860.9017, 1261002.9
884.17773, 1.59937952E8
930.72986, 1.782572E8
1000.0, 1.6851152E8
1020.82025, 81761.83
1041.5873, 8862321.0
1062.55, 678346.44
1100.9501, 7517772.5
1141.91, 1.24369504E8
1162.573, 154723.17
1188.6028, 4.2368476E7
1227.7349, 2.8743254E7
1251.0522, 385651.53
1272.8507, 8.2299192E7
1300.6718, 481517.16
1327.6724, 868004.4
1363.4845, 1863146.9
1397.6066, 7.0886112E7
1419.1829, 4976958.0
1441.0295, 5.0842108E7
1474.5421, 9416190.0
1512.842, 6.6137852E7
1536.183, 1313107.6
1595.8295, 1.9290004E7
1624.7104, 1.0362042E7
1647.3024, 6.233312E7
1692.4862, 6.2824148E7
1782.854, 6.3095316E7
1882.854, 6.3664968E7
1917.7123, 3948252.2
1952.592, 5.9503892E7
1981.6946, 1.0053559E7
