Time s, total number of superparticles-
25.700144, 0.0
46.77397, 0.0
67.848526, 0.0
87.99266, 0.0
113.2763, 0.0
142.87262, 0.0
163.14868, 0.0
185.69318, 0.0
209.74063, 0.0
233.87848, 0.0
258.01846, 0.0
295.9383, 0.0
333.8599, 0.0
357.7538, 0.0
386.93024, 0.0
425.83218, 0.0
503.63602, 0.0
524.0031, 0.0
549.57434, 0.0
583.6693, 0.0
651.8592, 0.0
676.5516, 0.0
701.12225, 0.0
750.2636, 0.0
772.10223, 0.0
793.94385, 0.0
837.6271, 0.0
860.9017, 0.0
884.17773, 0.0
930.72986, 0.0
1000.0, 0.0
1020.82025, 4328.2705
1041.5873, 3809.566
1062.55, 3667.672
1100.9501, 3793.3333
1141.91, 3837.0
1162.573, 4323.594
1188.6028, 4441.677
1227.7349, 4618.3335
1251.0522, 4816.834
1272.8507, 4901.0
1300.6718, 5135.3315
1327.6724, 5204.4707
1363.4845, 5332.93
1397.6066, 5480.0
1419.1829, 5446.309
1441.0295, 5582.558
1474.5421, 5624.857
1512.842, 5686.0
1536.183, 5822.943
1595.8295, 5909.6665
1624.7104, 5613.9287
1647.3024, 5799.0
1692.4862, 5892.0
1782.854, 6125.0
1882.854, 6204.0
1917.7123, 6074.7925
1952.592, 6191.0
1981.6946, 5785.3027
