Time s, total number of superparticles-
25.700144, 294.64514
46.77397, 206.99747
67.848526, 218.0
87.99266, 196.27711
113.2763, 199.44444
142.87262, 187.53621
163.14868, 173.89601
185.69318, 176.26666
209.74063, 182.0
233.87848, 159.99237
258.01846, 155.0
295.9383, 138.9233
333.8599, 158.0
357.7538, 145.02866
386.93024, 134.0
425.83218, 131.0
503.63602, 139.0
524.0031, 141.07881
549.57434, 140.66667
583.6693, 143.0
651.8592, 125.0
676.5516, 131.76547
701.12225, 140.0
750.2636, 128.0
772.10223, 132.74817
793.94385, 144.0
837.6271, 113.0
860.9017, 131.46028
884.17773, 118.0
930.72986, 134.0
1000.0, 137.0
1020.82025, 131.48488
1041.5873, 133.36926
1062.55, 132.31152
1100.9501, 149.26666
1141.91, 131.0
1162.573, 150.19345
1188.6028, 150.05246
1227.7349, 148.33333
1251.0522, 153.03136
1272.8507, 169.0
1300.6718, 159.30986
1327.6724, 163.28029
1363.4845, 176.96011
1397.6066, 151.0
1419.1829, 178.06126
1441.0295, 186.934
1474.5421, 186.57143
1512.842, 172.0
1536.183, 176.42642
1595.8295, 173.33333
1624.7104, 181.47021
1647.3024, 179.0
1692.4862, 202.0
1782.854, 169.0
1882.854, 172.0
1917.7123, 171.36053
1952.592, 181.0
1981.6946, 191.71194
