Time s, total number of superparticles-
25.700144, 5542.936
46.77397, 2180.5066
67.848526, 2123.0
87.99266, 1945.856
113.2763, 1829.8889
142.87262, 1665.0475
163.14868, 1582.5443
185.69318, 1540.5333
209.74063, 1511.0
233.87848, 1434.3463
258.01846, 1427.0
295.9383, 1330.3462
333.8599, 1361.0
357.7538, 1271.8536
386.93024, 1223.6666
425.83218, 1221.0
503.63602, 1129.0
524.0031, 1128.8423
549.57434, 1146.6666
583.6693, 1143.0
651.8592, 1131.0
676.5516, 1085.1143
701.12225, 1095.0
750.2636, 1079.0
772.10223, 1070.6882
793.94385, 1153.0
837.6271, 1040.0
860.9017, 1068.0698
884.17773, 1058.0
930.72986, 1093.0
1000.0, 1074.0
1020.82025, 1022.4113
1041.5873, 1027.1146
1062.55, 1062.6788
1100.9501, 1067.9333
1141.91, 1139.0
1162.573, 1192.4415
1188.6028, 1242.8577
1227.7349, 1244.6666
1251.0522, 1316.0128
1272.8507, 1321.0
1300.6718, 1360.5203
1327.6724, 1405.6946
1363.4845, 1411.3241
1397.6066, 1435.0
1419.1829, 1458.2126
1441.0295, 1488.596
1474.5421, 1488.4286
1512.842, 1526.0
1536.183, 1523.9575
1595.8295, 1518.6666
1624.7104, 1544.4039
1647.3024, 1585.0
1692.4862, 1517.0
1782.854, 1559.0
1882.854, 1577.0
1917.7123, 1607.3016
1952.592, 1605.0
1981.6946, 1569.4463
