Time s, total number of superparticles-
25.700144, 5534.5566
46.77397, 2145.4824
67.848526, 2122.0
87.99266, 1937.5385
113.2763, 1831.6508
142.87262, 1687.129
163.14868, 1575.2943
185.69318, 1552.4667
209.74063, 1539.0
233.87848, 1422.2317
258.01846, 1375.0
295.9383, 1368.8187
333.8599, 1319.0
357.7538, 1248.8928
386.93024, 1269.0
425.83218, 1185.0
503.63602, 1241.0
524.0031, 1149.1951
549.57434, 1132.3334
583.6693, 1115.0
651.8592, 1150.0
676.5516, 1106.213
701.12225, 1094.0
750.2636, 1130.0
772.10223, 1057.5951
793.94385, 1021.0
837.6271, 1047.0
860.9017, 1066.743
884.17773, 1055.0
930.72986, 1091.0
1000.0, 1025.0
1020.82025, 1011.116
1041.5873, 1020.16
1062.55, 1050.4938
1100.9501, 1087.9333
1141.91, 1099.0
1162.573, 1194.2892
1188.6028, 1221.7318
1227.7349, 1228.6666
1251.0522, 1307.9037
1272.8507, 1307.0
1300.6718, 1367.0785
1327.6724, 1384.1162
1363.4845, 1427.1357
1397.6066, 1497.0
1419.1829, 1452.0073
1441.0295, 1492.4518
1474.5421, 1515.4286
1512.842, 1499.0
1536.183, 1540.876
1595.8295, 1581.0
1624.7104, 1527.3846
1647.3024, 1530.0
1692.4862, 1578.0
1782.854, 1561.0
1882.854, 1609.0
1917.7123, 1603.2164
1952.592, 1547.0
1981.6946, 1571.465
