Energy (in eV), SEEE yield of material CERS-withBUCT at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.108818196
20.0, 0.21701533
30.0, 0.32472044
40.0, 0.4319529
50.0, 0.5387125
60.0, 0.64498824
70.0, 0.75076693
80.0, 0.8560325
90.0, 0.96076757
100.0, 1.064955
110.0, 1.1685761
120.0, 1.2716165
130.0, 1.3740556
140.0, 1.47588
150.0, 1.5770715
160.0, 1.677614
170.0, 1.7774923
180.0, 1.8766919
190.0, 1.9751993
200.0, 2.072998
210.0, 2.1700754
220.0, 2.2664192
230.0, 2.3620145
240.0, 2.456853
250.0, 2.5509195
260.0, 2.6442032
270.0, 2.7366946
280.0, 2.8283827
290.0, 2.919258
300.0, 3.0093102
310.0, 3.0985308
320.0, 3.1869116
330.0, 3.2744436
340.0, 3.3611183
350.0, 3.4469304
360.0, 3.531872
370.0, 3.6159358
380.0, 3.699117
390.0, 3.7814088
400.0, 3.862805
410.0, 3.9433024
420.0, 4.022896
430.0, 4.101579
440.0, 4.179351
450.0, 4.2562056
460.0, 4.332142
470.0, 4.407153
480.0, 4.4812407
490.0, 4.554401
500.0, 4.6266313
510.0, 4.6979313
520.0, 4.768298
530.0, 4.8377314
540.0, 4.9062304
550.0, 4.9737945
560.0, 5.040423
570.0, 5.106117
580.0, 5.1708765
590.0, 5.234701
600.0, 5.2975936
610.0, 5.3595543
620.0, 5.420583
630.0, 5.4806833
640.0, 5.5398564
650.0, 5.5981054
660.0, 5.6554313
670.0, 5.7118363
680.0, 5.7673235
690.0, 5.8218975
700.0, 5.8755593
710.0, 5.9283137
720.0, 5.980163
730.0, 6.0311127
740.0, 6.081165
750.0, 6.1303253
760.0, 6.1785965
770.0, 6.225985
780.0, 6.2724943
790.0, 6.318129
800.0, 6.3628936
810.0, 6.406794
820.0, 6.449836
830.0, 6.492024
840.0, 6.5333643
850.0, 6.573861
860.0, 6.613522
870.0, 6.652351
880.0, 6.6903563
890.0, 6.727542
900.0, 6.7639165
910.0, 6.799483
920.0, 6.8342514
930.0, 6.868225
940.0, 6.9014125
950.0, 6.9338207
960.0, 6.9654546
970.0, 6.996323
980.0, 7.026433
990.0, 7.0557895
1000.0, 7.0844
1010.0, 7.112273
1020.0, 7.1394153
1030.0, 7.165834
1040.0, 7.191536
1050.0, 7.216529
