Energy (in eV), SEEE yield of material CERS-withBUCT at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.10859823
20.0, 0.21637233
30.0, 0.32348645
40.0, 0.43000206
50.0, 0.53588694
60.0, 0.6411211
70.0, 0.7457076
80.0, 0.8496296
90.0, 0.9528633
100.0, 1.0553691
110.0, 1.1571467
120.0, 1.2581663
130.0, 1.358423
140.0, 1.4578729
150.0, 1.5565153
160.0, 1.654314
170.0, 1.751272
180.0, 1.8473682
190.0, 1.9425797
200.0, 2.036886
210.0, 2.1302848
220.0, 2.2227616
230.0, 2.3142889
240.0, 2.4048762
250.0, 2.4944954
260.0, 2.5831418
270.0, 2.6708074
280.0, 2.7574732
290.0, 2.8431444
300.0, 2.9278045
310.0, 3.0114405
320.0, 3.0940597
330.0, 3.1756463
340.0, 3.2561994
350.0, 3.3357072
360.0, 3.4141731
370.0, 3.4915888
380.0, 3.5679536
390.0, 3.6432638
400.0, 3.7175164
410.0, 3.7907126
420.0, 3.8628464
430.0, 3.933921
440.0, 4.0039363
450.0, 4.0728917
460.0, 4.140787
470.0, 4.207626
480.0, 4.273409
490.0, 4.338137
500.0, 4.401815
510.0, 4.464443
520.0, 4.5260267
530.0, 4.5865693
540.0, 4.646074
550.0, 4.704545
560.0, 4.7619886
570.0, 4.818409
580.0, 4.8738112
590.0, 4.9282002
600.0, 4.981583
610.0, 5.033966
620.0, 5.0853558
630.0, 5.1357574
640.0, 5.1851788
650.0, 5.2336283
660.0, 5.2811112
670.0, 5.3276367
680.0, 5.373212
690.0, 5.4178443
700.0, 5.4615436
710.0, 5.504317
720.0, 5.546173
730.0, 5.587121
740.0, 5.6271687
750.0, 5.666326
760.0, 5.7046022
770.0, 5.742006
780.0, 5.778546
790.0, 5.8142323
800.0, 5.8490744
810.0, 5.8830805
820.0, 5.9162626
830.0, 5.9486294
840.0, 5.9801903
850.0, 6.010956
860.0, 6.040935
870.0, 6.070138
880.0, 6.0985756
890.0, 6.1262574
900.0, 6.153192
910.0, 6.1793904
920.0, 6.204864
930.0, 6.2296205
940.0, 6.2536716
950.0, 6.2770267
960.0, 6.299696
970.0, 6.321689
980.0, 6.3430166
990.0, 6.3636875
1000.0, 6.383713
1010.0, 6.403102
1020.0, 6.421865
1030.0, 6.440011
1040.0, 6.457551
1050.0, 6.4744935
