Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.22857742
20.0, 0.4426827
30.0, 0.6424351
40.0, 0.8282344
50.0, 1.0005878
60.0, 1.1600591
70.0, 1.3072426
80.0, 1.4427478
90.0, 1.5671877
100.0, 1.6811734
110.0, 1.7853072
120.0, 1.8801782
130.0, 1.9663602
140.0, 2.0444088
150.0, 2.1148586
160.0, 2.1782253
170.0, 2.2350004
180.0, 2.2856534
190.0, 2.330631
200.0, 2.3703573
210.0, 2.4052331
220.0, 2.4356365
230.0, 2.461924
240.0, 2.484431
250.0, 2.5034711
260.0, 2.519338
270.0, 2.5323057
280.0, 2.5426311
290.0, 2.5505512
300.0, 2.5562868
310.0, 2.5600436
320.0, 2.56201
330.0, 2.5623615
340.0, 2.56126
350.0, 2.5588522
360.0, 2.5552769
370.0, 2.5506582
380.0, 2.5451105
390.0, 2.5387394
400.0, 2.5316403
410.0, 2.5239
420.0, 2.515598
430.0, 2.5068069
440.0, 2.4975913
450.0, 2.488011
460.0, 2.4781184
470.0, 2.4679627
480.0, 2.4575865
490.0, 2.4470286
500.0, 2.4363246
510.0, 2.4255047
520.0, 2.4145975
530.0, 2.4036279
540.0, 2.3926167
550.0, 2.3815844
560.0, 2.370548
570.0, 2.359523
580.0, 2.3485217
590.0, 2.3375568
600.0, 2.3266373
610.0, 2.315773
620.0, 2.3049707
630.0, 2.2942374
640.0, 2.2835784
650.0, 2.2729986
660.0, 2.2625012
670.0, 2.2520897
680.0, 2.2417672
690.0, 2.2315347
700.0, 2.2213953
710.0, 2.211349
720.0, 2.201397
730.0, 2.1915398
740.0, 2.1817777
750.0, 2.1721106
760.0, 2.1625385
770.0, 2.1530607
780.0, 2.143677
790.0, 2.1343865
800.0, 2.1251886
810.0, 2.116082
820.0, 2.1070666
830.0, 2.0981407
840.0, 2.0893035
850.0, 2.0805538
860.0, 2.0718906
870.0, 2.0633125
880.0, 2.0548186
890.0, 2.046408
900.0, 2.0380788
910.0, 2.0298302
920.0, 2.021661
930.0, 2.0135703
940.0, 2.0055566
950.0, 1.9976188
960.0, 1.9897559
970.0, 1.9819664
980.0, 1.9742495
990.0, 1.9666044
1000.0, 1.9590293
1010.0, 1.9515238
1020.0, 1.9440863
1030.0, 1.9367163
