Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.2263355
20.0, 0.43395165
30.0, 0.62358373
40.0, 0.7962903
50.0, 0.9532134
60.0, 1.0955038
70.0, 1.2242863
80.0, 1.3406423
90.0, 1.4455991
100.0, 1.5401227
110.0, 1.625118
120.0, 1.7014266
130.0, 1.7698277
140.0, 1.8310405
150.0, 1.8857267
160.0, 1.9344932
170.0, 1.9778953
180.0, 2.01644
190.0, 2.0505888
200.0, 2.0807621
210.0, 2.1073415
220.0, 2.1306732
230.0, 2.1510704
240.0, 2.1688175
250.0, 2.1841705
260.0, 2.1973612
270.0, 2.2085998
280.0, 2.218074
290.0, 2.2259555
300.0, 2.2323973
310.0, 2.2375386
320.0, 2.241504
330.0, 2.2444067
340.0, 2.2463484
350.0, 2.2474203
360.0, 2.2477057
370.0, 2.2472794
380.0, 2.2462087
390.0, 2.244555
400.0, 2.2423732
410.0, 2.2397132
420.0, 2.2366202
430.0, 2.2331352
440.0, 2.2292948
450.0, 2.2251337
460.0, 2.2206814
470.0, 2.215967
480.0, 2.211014
490.0, 2.2058468
500.0, 2.2004852
510.0, 2.1949492
520.0, 2.1892555
530.0, 2.183421
540.0, 2.1774592
550.0, 2.1713839
560.0, 2.1652071
570.0, 2.15894
580.0, 2.1525927
590.0, 2.146175
600.0, 2.1396947
610.0, 2.1331606
620.0, 2.1265786
630.0, 2.119957
640.0, 2.1133008
650.0, 2.106616
660.0, 2.099908
670.0, 2.0931811
680.0, 2.0864398
690.0, 2.0796885
700.0, 2.0729308
710.0, 2.0661695
720.0, 2.0594087
730.0, 2.0526512
740.0, 2.045899
750.0, 2.039155
760.0, 2.0324216
770.0, 2.0257008
780.0, 2.0189948
790.0, 2.0123045
800.0, 2.0056326
810.0, 1.99898
820.0, 1.9923487
830.0, 1.9857392
840.0, 1.9791529
850.0, 1.9725909
860.0, 1.9660547
870.0, 1.9595443
880.0, 1.953061
890.0, 1.9466058
900.0, 1.940179
910.0, 1.933781
920.0, 1.927413
930.0, 1.9210749
940.0, 1.9147679
950.0, 1.9084915
960.0, 1.9022465
970.0, 1.8960332
980.0, 1.8898518
990.0, 1.8837029
1000.0, 1.8775862
1010.0, 1.871502
1020.0, 1.8654507
1030.0, 1.8594322
1040.0, 1.8534468
