Energy (in eV), SEEE yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.1066323
20.0, 0.20953606
30.0, 0.30938405
40.0, 0.4063356
50.0, 0.5004421
60.0, 0.5917156
70.0, 0.68015176
80.0, 0.76574224
90.0, 0.8484777
100.0, 0.92835176
110.0, 1.0053623
120.0, 1.0795115
130.0, 1.1508079
140.0, 1.2192645
150.0, 1.2848997
160.0, 1.3477378
170.0, 1.4078072
180.0, 1.4651417
190.0, 1.519779
200.0, 1.5717613
210.0, 1.6211342
220.0, 1.6679473
230.0, 1.7122529
240.0, 1.7541059
250.0, 1.7935644
260.0, 1.8306884
270.0, 1.8655391
280.0, 1.8981801
290.0, 1.928676
300.0, 1.9570925
310.0, 1.9834961
320.0, 2.0079532
330.0, 2.0305321
340.0, 2.0512993
350.0, 2.0703228
360.0, 2.087669
370.0, 2.1034043
380.0, 2.1175954
390.0, 2.1303067
400.0, 2.1416028
410.0, 2.1515467
420.0, 2.1602004
430.0, 2.1676257
440.0, 2.1738803
450.0, 2.1790242
460.0, 2.1831129
470.0, 2.186202
480.0, 2.1883454
490.0, 2.1895945
500.0, 2.1899998
510.0, 2.1896102
520.0, 2.1884732
530.0, 2.186633
540.0, 2.1841345
550.0, 2.1810188
560.0, 2.1773272
570.0, 2.1730974
580.0, 2.1683674
590.0, 2.1631725
600.0, 2.1575458
610.0, 2.1515203
620.0, 2.1451268
630.0, 2.1383948
640.0, 2.1313522
650.0, 2.1240249
660.0, 2.1164386
670.0, 2.1086166
680.0, 2.100582
690.0, 2.0923557
700.0, 2.0839574
710.0, 2.0754068
720.0, 2.0667207
730.0, 2.0579166
740.0, 2.0490098
750.0, 2.0400152
760.0, 2.0309467
770.0, 2.0218165
780.0, 2.0126374
790.0, 2.0034196
800.0, 1.9941744
810.0, 1.9849114
820.0, 1.9756393
830.0, 1.9663662
840.0, 1.9571002
850.0, 1.947848
860.0, 1.9386162
870.0, 1.929411
880.0, 1.9202378
890.0, 1.9111012
900.0, 1.9020066
910.0, 1.8929573
920.0, 1.8839575
930.0, 1.8750107
940.0, 1.8661196
950.0, 1.8572872
960.0, 1.8485156
970.0, 1.8398076
980.0, 1.8311644
990.0, 1.8225882
1000.0, 1.81408
1010.0, 1.8056414
1020.0, 1.7972735
1030.0, 1.7889767
