Energy (in eV), SEEE yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.10771878
20.0, 0.21292078
30.0, 0.31604168
40.0, 0.4171722
50.0, 0.5163332
60.0, 0.6135175
70.0, 0.70871115
80.0, 0.80188864
90.0, 0.8930278
100.0, 0.9821106
110.0, 1.0691148
120.0, 1.1540265
130.0, 1.2368315
140.0, 1.3175201
150.0, 1.3960872
160.0, 1.4725289
170.0, 1.5468465
180.0, 1.6190435
190.0, 1.6891267
200.0, 1.7571064
210.0, 1.8229953
220.0, 1.8868084
230.0, 1.9485638
240.0, 2.0082817
250.0, 2.0659847
260.0, 2.1216972
270.0, 2.175446
280.0, 2.2272594
290.0, 2.2771661
300.0, 2.3251984
310.0, 2.3713884
320.0, 2.4157698
330.0, 2.4583771
340.0, 2.499246
350.0, 2.5384126
360.0, 2.5759144
370.0, 2.611789
380.0, 2.6460736
390.0, 2.6788073
400.0, 2.710028
410.0, 2.7397752
420.0, 2.7680871
430.0, 2.7950025
440.0, 2.8205602
450.0, 2.8447988
460.0, 2.8677564
470.0, 2.8894708
480.0, 2.9099789
490.0, 2.9293196
500.0, 2.9475284
510.0, 2.9646423
520.0, 2.9806967
530.0, 2.995726
540.0, 3.0097663
550.0, 3.022851
560.0, 3.035013
570.0, 3.0462842
580.0, 3.0566983
590.0, 3.0662851
600.0, 3.0750763
610.0, 3.0831006
620.0, 3.0903876
630.0, 3.0969656
640.0, 3.1028621
650.0, 3.1081038
660.0, 3.112717
670.0, 3.1167266
680.0, 3.1201575
690.0, 3.1230338
700.0, 3.125378
710.0, 3.1272137
720.0, 3.128561
730.0, 3.1294422
740.0, 3.1298769
750.0, 3.129885
760.0, 3.1294856
770.0, 3.1286964
780.0, 3.127536
790.0, 3.126021
800.0, 3.1241674
810.0, 3.121992
820.0, 3.1195092
830.0, 3.1167347
840.0, 3.113682
850.0, 3.1103644
860.0, 3.1067946
870.0, 3.102987
880.0, 3.0989518
890.0, 3.0947018
900.0, 3.0902474
910.0, 3.0856
920.0, 3.08077
930.0, 3.075766
940.0, 3.0705986
950.0, 3.0652761
960.0, 3.0598078
970.0, 3.0542016
980.0, 3.0484655
990.0, 3.0426073
1000.0, 3.0366342
1010.0, 3.0305529
1020.0, 3.0243716
1030.0, 3.0180943
1040.0, 3.0117285
