Energy (in eV), SEEP yield of material CERS-withBUCT at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 2.0903788
400.0, 4.2195373
600.0, 6.712387
800.0, 8.935476
1000.0, 10.646952
1200.0, 13.109695
1400.0, 15.719833
1600.0, 17.63023
1800.0, 19.573242
2000.0, 21.551231
2200.0, 24.547451
2400.0, 26.641594
2600.0, 28.771204
2800.0, 30.936516
3000.0, 33.13752
3200.0, 35.374065
3400.0, 37.645893
3600.0, 39.95266
3800.0, 41.01234
4000.0, 43.355614
4200.0, 45.733448
4400.0, 48.14532
4600.0, 50.590702
4800.0, 53.06908
5000.0, 54.1173
5200.0, 56.63243
5400.0, 59.17964
5600.0, 61.758392
5800.0, 62.798237
6000.0, 65.4131
6200.0, 68.05853
6400.0, 70.73401
6600.0, 71.77001
6800.0, 74.48053
7000.0, 77.22012
7200.0, 78.24946
7400.0, 81.02335
7600.0, 83.82538
7800.0, 84.849754
8000.0, 87.68526
8200.0, 90.547935
8400.0, 91.56864
8600.0, 94.46395
8800.0, 95.47601
9000.0, 98.40357
9200.0, 101.356926
9400.0, 102.36711
9600.0, 105.35181
9800.0, 106.35479
10000.0, 109.37041
10200.0, 112.410545
10400.0, 113.41283
10600.0, 116.48301
10800.0, 117.47913
11000.0, 120.57895
11200.0, 121.56928
11400.0, 124.698265
11600.0, 127.85018
11800.0, 128.84099
12000.0, 132.02124
12200.0, 133.00696
12400.0, 136.21513
12600.0, 137.19606
12800.0, 140.43173
13000.0, 141.40813
13200.0, 144.67093
13400.0, 145.643
13600.0, 148.9325
13800.0, 152.24269
14000.0, 153.21625
14200.0, 156.55241
14400.0, 157.52202
14600.0, 160.8837
14800.0, 161.84956
15000.0, 165.2364
15200.0, 166.19868
15400.0, 169.61028
15600.0, 170.56908
15800.0, 174.0051
16000.0, 174.96054
16200.0, 178.42061
16400.0, 179.37292
16600.0, 182.85664
16800.0, 183.8058
17000.0, 187.3129
17200.0, 188.25906
17400.0, 191.7891
17600.0, 192.73239
17800.0, 193.66792
18000.0, 197.22552
18200.0, 198.15839
18400.0, 201.73824
18600.0, 202.66847
18800.0, 206.27022
19000.0, 207.19797
19200.0, 210.82129
19400.0, 211.74654
19600.0, 215.39111
19800.0, 216.31396
20000.0, 219.9795
20200.0, 220.89996
20400.0, 224.5862
20600.0, 225.50433
