Energy (in eV), SEEP yield of material CERS-withBUCT at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.20804669
400.0, 0.2985091
600.0, 0.36774486
800.0, 0.42596358
1000.0, 0.47712374
1200.0, 0.5232574
1400.0, 0.56557256
1600.0, 0.6048575
1800.0, 0.6416598
2000.0, 0.67637867
2200.0, 0.70931596
2400.0, 0.74070656
2600.0, 0.7707365
2800.0, 0.79955775
3000.0, 0.82729506
3200.0, 0.8540535
3400.0, 0.87992114
3600.0, 0.9049738
3800.0, 0.9292772
4000.0, 0.95288783
4200.0, 0.9758564
4400.0, 0.99822646
4600.0, 1.0200373
4800.0, 1.0413243
5000.0, 1.0621183
5200.0, 1.0824481
5400.0, 1.1023396
5600.0, 1.1218157
5800.0, 1.1408979
6000.0, 1.1596054
6200.0, 1.1779566
6400.0, 1.1959677
6600.0, 1.213654
6800.0, 1.2310296
7000.0, 1.2481074
7200.0, 1.2648996
7400.0, 1.281418
7600.0, 1.2976727
7800.0, 1.3136737
8000.0, 1.3294303
8200.0, 1.3449512
8400.0, 1.3602448
8600.0, 1.3753184
8800.0, 1.3901795
9000.0, 1.4048356
9200.0, 1.419292
9400.0, 1.4335558
9600.0, 1.4476323
9800.0, 1.4615273
10000.0, 1.4752461
10200.0, 1.4887933
10400.0, 1.5021743
10600.0, 1.5153931
10800.0, 1.5284545
11000.0, 1.5413623
11200.0, 1.5541204
11400.0, 1.5667329
11600.0, 1.5792034
11800.0, 1.5915352
12000.0, 1.6037316
12200.0, 1.615796
12400.0, 1.6277307
12600.0, 1.6395401
12800.0, 1.6512258
13000.0, 1.6627913
13200.0, 1.6742386
13400.0, 1.6855702
13600.0, 1.6967895
13800.0, 1.7078977
14000.0, 1.7188975
14200.0, 1.7297913
14400.0, 1.740581
14600.0, 1.7512689
14800.0, 1.7618567
15000.0, 1.7723461
15200.0, 1.7827396
15400.0, 1.7930385
15600.0, 1.8032444
15800.0, 1.8133596
16000.0, 1.8233851
16200.0, 1.833323
16400.0, 1.8431747
16600.0, 1.852941
16800.0, 1.8626245
17000.0, 1.8722258
17200.0, 1.8817465
17400.0, 1.8911879
17600.0, 1.9005513
17800.0, 1.9098382
18000.0, 1.9190494
18200.0, 1.928186
18400.0, 1.9372497
18600.0, 1.9462411
18800.0, 1.9551618
19000.0, 1.9640126
