Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
200.0, 0.1857921
400.0, 0.2623616
600.0, 0.3208521
800.0, 0.3699424
1000.0, 0.41299996
1200.0, 0.45175454
1400.0, 0.4872351
1600.0, 0.5201136
1800.0, 0.5508573
2000.0, 0.5798068
2200.0, 0.6072201
2400.0, 0.6332976
2600.0, 0.6581989
2800.0, 0.682054
3000.0, 0.70496976
3200.0, 0.7270359
3400.0, 0.74832857
3600.0, 0.76891255
3800.0, 0.7888443
4000.0, 0.80817264
4200.0, 0.8269406
4400.0, 0.8451864
4600.0, 0.8629437
4800.0, 0.88024265
5000.0, 0.89711046
5200.0, 0.9135716
5400.0, 0.9296484
5600.0, 0.94536084
5800.0, 0.9607277
6000.0, 0.97576547
6200.0, 0.9904901
6400.0, 1.0049155
6600.0, 1.019055
6800.0, 1.0329212
7000.0, 1.046525
7200.0, 1.0598773
7400.0, 1.0729879
7600.0, 1.085866
7800.0, 1.0985202
8000.0, 1.1109587
8200.0, 1.123189
8400.0, 1.1352185
8600.0, 1.1470537
8800.0, 1.158701
9000.0, 1.1701666
9200.0, 1.1814562
9400.0, 1.192575
9600.0, 1.2035283
9800.0, 1.2143208
10000.0, 1.2249573
10200.0, 1.235442
10400.0, 1.2457795
10600.0, 1.2559736
10800.0, 1.2660279
11000.0, 1.2759464
11200.0, 1.2857325
11400.0, 1.2953892
11600.0, 1.3049202
11800.0, 1.3143284
12000.0, 1.3236166
12200.0, 1.3327879
12400.0, 1.3418449
12600.0, 1.3507901
12800.0, 1.359626
13000.0, 1.3683553
13200.0, 1.3769802
13400.0, 1.3855028
13600.0, 1.3939255
13800.0, 1.4022504
14000.0, 1.4104791
14200.0, 1.4186143
14400.0, 1.4266571
14600.0, 1.4346098
14800.0, 1.442474
15000.0, 1.4502515
15200.0, 1.4579439
15400.0, 1.4655528
15600.0, 1.4730797
15800.0, 1.4805264
16000.0, 1.4878939
16200.0, 1.495184
16400.0, 1.502398
16600.0, 1.509537
16800.0, 1.5166028
17000.0, 1.5235959
17200.0, 1.5305182
17400.0, 1.5373707
17600.0, 1.5441543
17800.0, 1.5508708
18000.0, 1.5575205
18200.0, 1.5641048
18400.0, 1.570625
18600.0, 1.5770818
18800.0, 1.5834761
19000.0, 1.5898094
