Energy (in eV), SEEP yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.35693157
400.0, 0.51011384
600.0, 0.62713796
800.0, 0.7253614
1000.0, 0.81151915
1200.0, 0.88907087
1400.0, 0.96007437
1600.0, 1.0258733
1800.0, 1.0874026
2000.0, 1.1453437
2200.0, 1.2002116
2400.0, 1.252408
2600.0, 1.3022518
2800.0, 1.350003
3000.0, 1.3958755
3200.0, 1.4400485
3400.0, 1.4826742
3600.0, 1.5238825
3800.0, 1.5637863
4000.0, 1.6024828
4200.0, 1.6400585
4400.0, 1.6765897
4600.0, 1.7121439
4800.0, 1.7467811
5000.0, 1.7805557
5200.0, 1.8135169
5400.0, 1.8457093
5600.0, 1.8771733
5800.0, 1.907945
6000.0, 1.938059
6200.0, 1.9675465
6400.0, 1.9964349
6600.0, 2.0247521
6800.0, 2.052522
7000.0, 2.0797672
7200.0, 2.106509
7400.0, 2.1327674
7600.0, 2.1585605
7800.0, 2.1839058
8000.0, 2.2088196
8200.0, 2.2333167
8400.0, 2.2574122
8600.0, 2.2811189
8800.0, 2.3044493
9000.0, 2.327417
9200.0, 2.3500316
9400.0, 2.3723047
9600.0, 2.3942473
9800.0, 2.4158678
10000.0, 2.4371758
10200.0, 2.4581802
10400.0, 2.4788902
10600.0, 2.4993129
10800.0, 2.5194561
11000.0, 2.5393276
11200.0, 2.5589345
11400.0, 2.5782819
11600.0, 2.597378
11800.0, 2.6162283
12000.0, 2.6348386
12200.0, 2.6532147
12400.0, 2.6713624
12600.0, 2.689286
12800.0, 2.7069912
13000.0, 2.724483
13200.0, 2.7417657
13400.0, 2.7588441
13600.0, 2.775722
13800.0, 2.7924042
14000.0, 2.8088942
14200.0, 2.8251967
14400.0, 2.8413143
14600.0, 2.857252
14800.0, 2.8730125
15000.0, 2.8885994
15200.0, 2.9040155
15400.0, 2.9192653
15600.0, 2.9343505
15800.0, 2.9492753
16000.0, 2.9640412
16200.0, 2.9786525
16400.0, 2.9931114
16600.0, 3.00742
16800.0, 3.0215821
17000.0, 3.0355995
17200.0, 3.0494742
17400.0, 3.0632095
17600.0, 3.0768073
17800.0, 3.0902703
18000.0, 3.1035995
18200.0, 3.1167982
18400.0, 3.129868
18600.0, 3.1428108
18800.0, 3.1556294
19000.0, 3.1683254
