Energy (in eV), SEEP yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
0.0, 0.0
200.0, 0.109499335
400.0, 0.15472102
600.0, 0.18932945
800.0, 0.21842936
1000.0, 0.244
1200.0, 0.26705742
1400.0, 0.28820565
1600.0, 0.3078387
1800.0, 0.32623056
2000.0, 0.34358072
2200.0, 0.3600401
2400.0, 0.3757261
2600.0, 0.39073187
2800.0, 0.40513328
3000.0, 0.41899276
3200.0, 0.43236277
3400.0, 0.44528744
3600.0, 0.45780468
3800.0, 0.46994725
4000.0, 0.4817436
4200.0, 0.49321872
4400.0, 0.50439477
4600.0, 0.5152912
4800.0, 0.5259257
5000.0, 0.5363138
5200.0, 0.5464698
5400.0, 0.5564066
5600.0, 0.5661357
5800.0, 0.5756679
6000.0, 0.58501285
6200.0, 0.59417963
6400.0, 0.6031764
6600.0, 0.6120108
6800.0, 0.6206898
7000.0, 0.62921995
7200.0, 0.6376074
7400.0, 0.64585793
7600.0, 0.6539766
7800.0, 0.6619684
8000.0, 0.6698381
8200.0, 0.6775901
8400.0, 0.68522817
8600.0, 0.6927565
8800.0, 0.70017856
9000.0, 0.70749795
9200.0, 0.7147178
9400.0, 0.7218411
9600.0, 0.7288709
9800.0, 0.73581004
10000.0, 0.742661
10200.0, 0.74942625
10400.0, 0.7561083
10600.0, 0.76270944
10800.0, 0.7692318
11000.0, 0.77567744
11200.0, 0.7820482
11400.0, 0.7883462
11600.0, 0.7945731
11800.0, 0.8007308
12000.0, 0.8068208
12200.0, 0.8128449
12400.0, 0.81880414
12600.0, 0.82470065
12800.0, 0.83053535
13000.0, 0.83630985
13200.0, 0.8420255
13400.0, 0.84768337
13600.0, 0.85328484
13800.0, 0.8588309
14000.0, 0.8643228
14200.0, 0.8697619
14400.0, 0.8751487
14600.0, 0.88048464
14800.0, 0.88577056
15000.0, 0.8910076
15200.0, 0.8961964
15400.0, 0.901338
15600.0, 0.9064331
15800.0, 0.91148293
16000.0, 0.9164877
16200.0, 0.9214489
16400.0, 0.926367
16600.0, 0.93124247
16800.0, 0.93607634
17000.0, 0.9408694
17200.0, 0.945622
17400.0, 0.950335
17600.0, 0.9550091
17800.0, 0.95964485
18000.0, 0.9642428
18200.0, 0.96880364
18400.0, 0.9733279
18600.0, 0.97781605
18800.0, 0.9822688
19000.0, 0.9866868
