Energy (in eV), SEEP yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.20809172
400.0, 0.29855406
600.0, 0.36778978
800.0, 0.42600837
1000.0, 0.4771685
1200.0, 0.5233021
1400.0, 0.56561714
1600.0, 0.6049019
1800.0, 0.6417042
2000.0, 0.67642313
2200.0, 0.7093604
2400.0, 0.7407508
2600.0, 0.7707807
2800.0, 0.79960185
3000.0, 0.8273392
3200.0, 0.8540974
3400.0, 0.879965
3600.0, 0.90501755
3800.0, 0.9293209
4000.0, 0.95293164
4200.0, 0.97589993
4400.0, 0.99827003
4600.0, 1.0200807
4800.0, 1.0413677
5000.0, 1.0621617
5200.0, 1.0824914
5400.0, 1.1023828
5600.0, 1.1218587
5800.0, 1.1409408
6000.0, 1.1596483
6200.0, 1.1779995
6400.0, 1.1960105
6600.0, 1.2136967
6800.0, 1.2310721
7000.0, 1.2481499
7200.0, 1.264942
7400.0, 1.2814603
7600.0, 1.2977151
7800.0, 1.3137157
8000.0, 1.3294725
8200.0, 1.3449935
8400.0, 1.3602868
8600.0, 1.3753605
8800.0, 1.3902215
9000.0, 1.4048774
9200.0, 1.4193339
9400.0, 1.4335974
9600.0, 1.447674
9800.0, 1.461569
10000.0, 1.4752874
10200.0, 1.4888347
10400.0, 1.5022157
10600.0, 1.5154344
10800.0, 1.5284957
11000.0, 1.5414034
11200.0, 1.5541615
11400.0, 1.5667742
11600.0, 1.5792444
11800.0, 1.5915761
12000.0, 1.6037725
12200.0, 1.615837
12400.0, 1.6277719
12600.0, 1.6395807
12800.0, 1.6512665
13000.0, 1.6628315
13200.0, 1.6742789
13400.0, 1.6856109
13600.0, 1.6968297
13800.0, 1.707938
14000.0, 1.7189376
14200.0, 1.7298315
14400.0, 1.740621
14600.0, 1.7513086
14800.0, 1.7618964
15000.0, 1.7723862
15200.0, 1.7827793
15400.0, 1.7930783
15600.0, 1.8032843
15800.0, 1.8133996
16000.0, 1.8234246
16200.0, 1.8333623
16400.0, 1.8432142
16600.0, 1.8529805
16800.0, 1.8626639
17000.0, 1.8722653
17200.0, 1.8817858
17400.0, 1.8912269
17600.0, 1.9005903
17800.0, 1.9098768
18000.0, 1.9190879
18200.0, 1.9282248
18400.0, 1.9372885
18600.0, 1.9462798
18800.0, 1.9552006
19000.0, 1.9640515
