Time (s), average differential potential (V), average absolute potential (V)
25.513973, 64.619675, -575.75476
47.94545, 180.39981, -1344.3237
77.81673, 264.47754, -2900.4895
107.68806, 399.45242, -3212.4133
134.89421, 448.33044, -4191.3105
162.10179, 552.6748, -4446.426
183.75162, 574.86743, -5243.064
206.68947, 631.72046, -5601.357
249.46461, 705.0485, -6165.773
271.35352, 753.7187, -6750.774
293.24402, 808.9626, -6878.059
337.025, 893.01843, -7089.5474
357.46384, 903.2301, -7686.3535
377.51654, 943.87366, -7801.2124
416.7095, 968.4278, -8129.007
456.52457, 1040.4862, -8303.828
494.06387, 1057.8397, -8690.21
531.60596, 1115.1759, -8832.044
567.555, 1127.6366, -9195.745
598.53815, 1146.6123, -9499.499
624.4727, 1180.8779, -9599.018
676.34186, 1224.5118, -9714.783
705.2622, 1233.6969, -9912.013
737.564, 1249.006, -10126.8545
769.86804, 1276.6892, -10189.84
834.476, 1314.6844, -10286.564
934.476, 1363.1692, -10418.279
957.4048, 1360.9927, -10720.677
980.33673, 1369.8237, -10738.629
1000.63, 1376.6986, -10755.767
1020.7864, 1377.8612, -10489.983
1041.2104, 1379.3711, -9728.547
1061.2699, 1342.432, -9040.791
1100.95, 1216.201, -8441.182
1127.1512, 1126.5454, -7771.113
1151.4071, 1037.1127, -7503.697
1199.9191, 934.05054, -7209.4546
1220.9651, 926.0742, -6485.6045
1247.7335, 878.16034, -6192.1846
1283.4248, 806.1931, -5984.8667
1303.891, 794.21735, -5651.621
1324.4175, 759.25195, -5519.5317
1345.3318, 748.7584, -5285.0474
1379.103, 718.1977, -5167.8623
1424.1312, 681.1946, -5061.4985
1447.1107, 677.8811, -4802.702
1485.2582, 657.9659, -4711.619
1536.1213, 638.1769, -4654.312
1566.473, 634.5607, -4497.0234
1594.5376, 619.3137, -4446.991
1618.1089, 613.78174, -4379.6943
1641.7122, 602.03107, -4344.5024
1688.9188, 584.8587, -4294.784
1783.3322, 587.90704, -4303.531
1883.3322, 582.66986, -4288.372
1918.2388, 583.1595, -4119.892
1952.4417, 587.84247, -4131.4263
2000.0, 579.1332, -4106.22
