Time (s), average differential potential (V), average absolute potential (V)
25.700144, 64.19099, -837.0382
46.77397, 164.075, -2356.3716
67.848526, 272.0981, -2595.579
87.99266, 313.90524, -3144.3438
113.2763, 384.6357, -3706.8298
142.87262, 461.07153, -4420.451
163.14868, 514.09686, -4947.4272
185.69318, 564.3071, -5295.712
209.74063, 642.90533, -5488.5366
233.87848, 667.76697, -6072.9287
258.01846, 738.483, -6252.687
295.9383, 775.0252, -6720.335
333.8599, 870.3548, -6955.718
357.7538, 878.47705, -7671.7656
386.93024, 922.567, -7948.8774
425.83218, 989.44727, -8116.1655
503.63602, 1093.1027, -8385.797
524.0031, 1089.6287, -8940.68
549.57434, 1105.7344, -9144.906
583.6693, 1141.8314, -9227.573
651.8592, 1216.7556, -9420.402
676.5516, 1220.1807, -9793.503
701.12225, 1245.9048, -9855.518
750.2636, 1278.5125, -9935.149
772.10223, 1277.9774, -10148.793
793.94385, 1293.2139, -10181.657
837.6271, 1321.9321, -10258.146
860.9017, 1321.1631, -10438.038
884.17773, 1332.9652, -10460.447
930.72986, 1361.0428, -10536.525
1000.0, 1403.266, -10648.677
1020.82025, 1402.6157, -10587.788
1041.5873, 1394.5079, -9836.31
1062.55, 1359.3112, -9129.166
1100.9501, 1230.7853, -8539.399
1141.91, 1043.7513, -8003.7075
1162.573, 1026.5052, -7164.099
1188.6028, 972.87354, -6805.889
1227.7349, 892.0891, -6462.44
1251.0522, 856.39655, -6011.2944
1272.8507, 806.2718, -5857.343
1300.6718, 786.9324, -5610.6206
1327.6724, 757.6528, -5359.6426
1363.4845, 724.148, -5153.644
1397.6066, 678.8424, -5019.6787
1419.1829, 672.2258, -4894.4907
1441.0295, 665.91925, -4821.0044
1474.5421, 652.3979, -4663.659
1512.842, 623.62665, -4580.3086
1536.183, 620.07184, -4415.6577
1595.8295, 622.9233, -4414.273
1624.7104, 620.4683, -4362.808
1647.3024, 606.2961, -4316.85
1692.4862, 590.8178, -4272.0938
1782.854, 585.7889, -4257.6426
1882.854, 576.78577, -4231.6807
1917.7123, 575.0308, -4169.3706
1952.592, 583.72327, -4193.8228
1981.6946, 583.2699, -4122.607
