Time (s), variation of the average surface potential of esn 2 (s-1.V)
25.700144, -41.77911
46.77397, -37.98488
67.848526, 3.3093886
87.99266, -39.559628
113.2763, 0.8905699
142.87262, -16.854897
163.14868, -28.912857
185.69318, 0.822213
209.74063, 1.0838348
233.87848, -21.258623
258.01846, 1.1136011
295.9383, -9.189533
333.8599, 0.7604732
357.7538, -36.601646
386.93024, 1.3287623
425.83218, 0.554994
503.63602, 0.4080587
524.0031, -36.247654
549.57434, 0.8150301
583.6693, 0.5079879
651.8592, 0.36655158
676.5516, -14.628156
701.12225, 0.44095123
750.2636, 0.30878907
772.10223, -9.657499
793.94385, 0.3266593
837.6271, 0.16044578
860.9017, -7.6714563
884.17773, 0.35861593
930.72986, 0.11959458
1000.0, 0.1530114
1020.82025, 19.095469
1041.5873, 32.555153
1062.55, 25.53648
1100.9501, -0.06571452
1141.91, -0.16429424
1162.573, 41.589836
1188.6028, 9.320871
1227.7349, -0.055544883
1251.0522, 15.285537
1272.8507, -0.015747007
1300.6718, 6.943069
1327.6724, 6.1942797
1363.4845, 2.996349
1397.6066, -0.015647786
1419.1829, 5.7292533
1441.0295, 7.0893598
1474.5421, 0.021017386
1512.842, -0.00974012
1536.183, 7.00182
1595.8295, 0.011448461
1624.7104, 1.6897658
1647.3024, 0.0068945726
1692.4862, -0.0056139976
1782.854, -0.0017560627
1882.854, -0.0021679688
1917.7123, 1.6511428
1952.592, 0.013502042
1981.6946, 2.8753047
