Time (s), esn 0 net current (A), esn 0 collected current (A), esn 0 emitted current (A)
25.700144, -5.6445908E-5, -2.6100475E-4, -2.0455883E-4
46.77397, -5.046496E-5, -2.4259897E-4, -1.9213402E-4
67.848526, -3.967654E-5, -2.3093564E-4, -1.912591E-4
87.99266, -4.0018178E-5, -2.285316E-4, -1.8851343E-4
113.2763, -3.523384E-5, -2.2172238E-4, -1.8648854E-4
142.87262, -3.6153815E-5, -2.1992857E-4, -1.8377474E-4
163.14868, -3.4169487E-5, -2.1607337E-4, -1.8190389E-4
185.69318, -2.9043886E-5, -2.0944819E-4, -1.804043E-4
209.74063, -2.8901966E-5, -2.0845872E-4, -1.7955675E-4
233.87848, -2.2195354E-5, -2.0015484E-4, -1.7795949E-4
258.01846, -3.1970645E-5, -2.0964368E-4, -1.7767304E-4
295.9383, -1.6736683E-5, -1.9300324E-4, -1.7626656E-4
333.8599, -1.5227342E-5, -1.9110901E-4, -1.7588167E-4
357.7538, -1.5334408E-5, -1.8895944E-4, -1.7362504E-4
386.93024, -8.41398E-6, -1.8167052E-4, -1.7325654E-4
425.83218, -8.017887E-6, -1.8158673E-4, -1.7356884E-4
503.63602, -5.6183344E-6, -1.7904733E-4, -1.73429E-4
524.0031, -7.4465147E-6, -1.7832174E-4, -1.7087524E-4
549.57434, -3.660476E-6, -1.7353006E-4, -1.6986959E-4
583.6693, 7.947965E-7, -1.7007126E-4, -1.7086606E-4
651.8592, -9.829513E-6, -1.8067293E-4, -1.7084341E-4
676.5516, -5.555384E-6, -1.7460536E-4, -1.6904998E-4
701.12225, -7.481023E-6, -1.7691948E-4, -1.6943846E-4
750.2636, 2.5740737E-6, -1.6621193E-4, -1.68786E-4
772.10223, 2.0752857E-6, -1.6615682E-4, -1.6823212E-4
793.94385, 6.1437604E-6, -1.6219536E-4, -1.6833912E-4
837.6271, 5.180191E-7, -1.6702112E-4, -1.6753914E-4
860.9017, 5.3163612E-6, -1.6255667E-4, -1.6787303E-4
884.17773, 8.067844E-6, -1.6006271E-4, -1.6813056E-4
930.72986, 4.2694737E-6, -1.6380989E-4, -1.6807936E-4
1000.0, 2.5992485E-6, -1.6566819E-4, -1.6826743E-4
1020.82025, 1.9310657E-5, -1.6344788E-4, -1.8275855E-4
1041.5873, 4.2534677E-5, -1.6938917E-4, -2.1192385E-4
1062.55, 6.4690925E-5, -1.7582258E-4, -2.405135E-4
1100.9501, 7.0520655E-5, -1.8090091E-4, -2.5142156E-4
1141.91, 7.416909E-5, -1.7811307E-4, -2.5228216E-4
1162.573, 6.26579E-5, -1.922928E-4, -2.5495072E-4
1188.6028, 5.079397E-5, -2.0485632E-4, -2.556503E-4
1227.7349, 6.23944E-5, -1.9396888E-4, -2.5636327E-4
1251.0522, 5.716168E-5, -2.0131252E-4, -2.584742E-4
1272.8507, 6.0463877E-5, -1.9799729E-4, -2.5846116E-4
1300.6718, 5.2731863E-5, -2.0690094E-4, -2.596328E-4
1327.6724, 5.5765842E-5, -2.0434946E-4, -2.601153E-4
1363.4845, 5.196167E-5, -2.0874303E-4, -2.607047E-4
1397.6066, 5.5177705E-5, -2.0597714E-4, -2.6115484E-4
1419.1829, 4.6903246E-5, -2.1469989E-4, -2.6160313E-4
1441.0295, 3.736468E-5, -2.248731E-4, -2.622378E-4
1474.5421, 5.004179E-5, -2.1269626E-4, -2.6273806E-4
1512.842, 5.207966E-5, -2.1028209E-4, -2.6236175E-4
1536.183, 4.935202E-5, -2.1428565E-4, -2.6363766E-4
1595.8295, 2.6347063E-5, -2.3719818E-4, -2.6354525E-4
1624.7104, 4.8482983E-5, -2.1516366E-4, -2.6364665E-4
1647.3024, 5.0894378E-5, -2.1286837E-4, -2.6376275E-4
1692.4862, 4.9115843E-5, -2.1487461E-4, -2.6399046E-4
1782.854, 3.7076694E-5, -2.2715483E-4, -2.6423152E-4
1882.854, 4.059635E-5, -2.2358925E-4, -2.641856E-4
1917.7123, 4.4035165E-5, -2.1995635E-4, -2.639915E-4
1952.592, 2.4008361E-5, -2.4014845E-4, -2.641568E-4
1981.6946, 4.4356926E-5, -2.2004439E-4, -2.6440131E-4
