Time (s), esn 1 net current (A), esn 1 collected current (A), esn 1 emitted current (A)
25.513973, -1.6618372E-4, -3.545848E-4, -1.8840109E-4
47.94545, -1.5983565E-4, -3.4226917E-4, -1.824335E-4
77.81673, -1.3964121E-4, -3.1858755E-4, -1.7894633E-4
107.68806, -1.365147E-4, -3.1538928E-4, -1.7887457E-4
134.89421, -1.2346862E-4, -3.0146365E-4, -1.7799503E-4
162.10179, -1.1915417E-4, -2.9835096E-4, -1.791968E-4
183.75162, -1.0696307E-4, -2.8572005E-4, -1.7875696E-4
206.68947, -1.04088154E-4, -2.8272127E-4, -1.7863311E-4
249.46461, -1.0491523E-4, -2.8422716E-4, -1.7931193E-4
271.35352, -8.472951E-5, -2.6661373E-4, -1.8188421E-4
293.24402, -8.53106E-5, -2.6555787E-4, -1.8024727E-4
337.025, -8.333313E-5, -2.6460152E-4, -1.8126839E-4
357.46384, -7.373545E-5, -2.562803E-4, -1.8254484E-4
377.51654, -7.37446E-5, -2.5655952E-4, -1.8281494E-4
416.7095, -6.7913745E-5, -2.5100436E-4, -1.8309063E-4
456.52457, -6.549043E-5, -2.4892893E-4, -1.834385E-4
494.06387, -6.382648E-5, -2.4865352E-4, -1.8482702E-4
531.60596, -5.8301826E-5, -2.4220011E-4, -1.8389829E-4
567.555, -5.1646926E-5, -2.3729897E-4, -1.8565205E-4
598.53815, -4.774956E-5, -2.3463486E-4, -1.868853E-4
624.4727, -5.4268312E-5, -2.4149378E-4, -1.8722547E-4
676.34186, -4.7837748E-5, -2.340008E-4, -1.8616306E-4
705.2622, -4.1660096E-5, -2.2933588E-4, -1.8767579E-4
737.564, -4.0430547E-5, -2.2879386E-4, -1.8836331E-4
769.86804, -3.595077E-5, -2.2606773E-4, -1.9011696E-4
834.476, -3.757082E-5, -2.2607972E-4, -1.885089E-4
934.476, -3.6321E-5, -2.250025E-4, -1.886815E-4
957.4048, -3.0563664E-5, -2.20054E-4, -1.8949034E-4
980.33673, -3.080444E-5, -2.201041E-4, -1.8929967E-4
1000.63, -3.0186833E-5, -2.1975783E-4, -1.89571E-4
1020.7864, -3.3721495E-5, -2.2340179E-4, -1.896803E-4
1041.2104, -4.4944176E-5, -2.3242732E-4, -1.8748315E-4
1061.2699, -5.3327174E-5, -2.3975929E-4, -1.8643212E-4
1100.95, -6.0163085E-5, -2.444936E-4, -1.843305E-4
1127.1512, -7.1639195E-5, -2.552075E-4, -1.835683E-4
1151.4071, -7.150168E-5, -2.550129E-4, -1.8351123E-4
1199.9191, -7.347917E-5, -2.5700472E-4, -1.8352555E-4
1220.9651, -8.912728E-5, -2.7056897E-4, -1.814417E-4
1247.7335, -9.1627415E-5, -2.724618E-4, -1.8083437E-4
1283.4248, -9.3324095E-5, -2.737946E-4, -1.8047051E-4
1303.891, -9.8670425E-5, -2.799648E-4, -1.8129437E-4
1324.4175, -1.0093626E-4, -2.8128494E-4, -1.8034868E-4
1345.3318, -1.05612155E-4, -2.8579164E-4, -1.8017949E-4
1379.103, -1.05935855E-4, -2.8615404E-4, -1.8021818E-4
1424.1312, -1.0575284E-4, -2.8652843E-4, -1.8077559E-4
1447.1107, -1.13761045E-4, -2.9362732E-4, -1.7986627E-4
1485.2582, -1.12186215E-4, -2.9203427E-4, -1.7984804E-4
1536.1213, -1.1298011E-4, -2.9281143E-4, -1.7983132E-4
1566.473, -1.15856354E-4, -2.9532926E-4, -1.7947292E-4
1594.5376, -1.1664003E-4, -2.9523124E-4, -1.785912E-4
1618.1089, -1.1777581E-4, -2.9721335E-4, -1.7943753E-4
1641.7122, -1.1882161E-4, -2.9695642E-4, -1.7813481E-4
1688.9188, -1.16915995E-4, -2.9710622E-4, -1.8019023E-4
1783.3322, -1.3122403E-4, -3.1064067E-4, -1.7941663E-4
1883.3322, -1.16993935E-4, -2.977619E-4, -1.8076797E-4
1918.2388, -1.2329205E-4, -3.0258994E-4, -1.7929787E-4
1952.4417, -1.2019486E-4, -3.0024353E-4, -1.8004866E-4
2000.0, -1.2179886E-4, -3.0022944E-4, -1.7843058E-4
