Time (s) , total current (A)
25.513973, -1.7750126E-5
47.94545, -2.5051024E-5
77.81673, -1.0632588E-5
107.68806, -2.4290654E-5
134.89421, -1.8123872E-5
162.10179, -2.3827028E-5
183.75162, -2.2890777E-5
206.68947, -2.971419E-5
249.46461, -2.7153175E-5
271.35352, -1.9243385E-5
293.24402, -2.1141048E-5
337.025, -3.153358E-5
357.46384, -1.3930916E-5
377.51654, -3.4352197E-5
416.7095, -2.391264E-5
456.52457, -3.0625713E-5
494.06387, -2.1223908E-5
531.60596, -2.9768518E-5
567.555, -2.6086309E-5
598.53815, -1.340265E-5
624.4727, -2.0607078E-5
676.34186, -2.5661515E-5
705.2622, -2.8540082E-5
737.564, -1.6954682E-5
769.86804, -1.5771246E-5
834.476, -1.3576378E-5
934.476, -3.4831748E-5
957.4048, -8.439868E-6
980.33673, -2.2207085E-5
1000.63, -1.3651178E-5
1020.7864, 2.799223E-5
1041.2104, 4.496203E-5
1061.2699, 4.3282056E-5
1100.95, 8.789022E-5
1127.1512, 5.1137675E-5
1151.4071, 5.754472E-5
1199.9191, 8.406547E-5
1220.9651, 5.0975053E-5
1247.7335, 5.7300105E-5
1283.4248, 8.742818E-5
1303.891, 7.05554E-5
1324.4175, 7.951202E-5
1345.3318, 4.101836E-5
1379.103, 5.4288852E-5
1424.1312, 8.7681474E-5
1447.1107, 6.271121E-5
1485.2582, 8.22128E-5
1536.1213, 8.963396E-5
1566.473, 5.492473E-5
1594.5376, 8.291279E-5
1618.1089, 2.3066516E-6
1641.7122, 4.0247025E-5
1688.9188, 7.924729E-5
1783.3322, 6.470275E-5
1883.3322, 1.0788942E-4
1918.2388, 3.850104E-5
1952.4417, 4.328398E-5
2000.0, 8.5176805E-5
