Time (s) , total current (A)
25.700144, -1.6896434E-5
46.77397, -3.1076481E-6
67.848526, -3.9888505E-7
87.99266, -2.7562259E-5
113.2763, -3.3225373E-5
142.87262, -2.1934027E-5
163.14868, -2.2416709E-5
185.69318, -2.876875E-5
209.74063, -3.6450947E-5
233.87848, -1.799105E-5
258.01846, -2.962306E-5
295.9383, -2.7750648E-5
333.8599, -3.053949E-5
357.7538, -1.6904212E-5
386.93024, -1.03242855E-5
425.83218, -1.9638816E-5
503.63602, -2.7537686E-5
524.0031, -2.2220509E-5
549.57434, -1.24954695E-5
583.6693, -2.1786127E-5
651.8592, -3.3000273E-5
676.5516, -2.4439518E-5
701.12225, -2.937624E-5
750.2636, -3.111013E-5
772.10223, -2.5222349E-5
793.94385, -2.7448383E-5
837.6271, -3.9831313E-5
860.9017, -2.3523164E-5
884.17773, -1.150021E-5
930.72986, -3.762577E-5
1000.0, -3.3373704E-5
1020.82025, 2.6857346E-5
1041.5873, 4.2263746E-5
1062.55, 5.9764057E-5
1100.9501, 7.329077E-5
1141.91, 9.721971E-5
1162.573, 6.884023E-5
1188.6028, 7.0145594E-5
1227.7349, 9.5103904E-5
1251.0522, 7.667327E-5
1272.8507, 8.8892586E-5
1300.6718, 9.137384E-5
1327.6724, 7.458529E-5
1363.4845, 7.0285554E-5
1397.6066, 9.989279E-5
1419.1829, 4.6460063E-5
1441.0295, 7.558309E-5
1474.5421, 7.115286E-5
1512.842, 9.953115E-5
1536.183, 6.023096E-5
1595.8295, 6.041542E-5
1624.7104, 1.3427654E-5
1647.3024, 3.5571014E-5
1692.4862, 5.690103E-5
1782.854, 7.5577525E-5
1882.854, 1.0061267E-4
1917.7123, 6.445912E-5
1952.592, 7.345662E-5
1981.6946, -2.1833264E-6
