#    time,   allPop,  allPop,  allPop,  allPop, ions1, ions1, ions1, ions1, elec1, elec1, elec1, elec1, ions2, ions2, ions2, ions2, elec2, elec2, elec2, elec2, photoElec, photoElec, photoElec, photoElec, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
25.700144, -0.001199863, -2.9196154E-4, -3.8942267E-4, -5.1847775E-4, 1.165807E-6, 3.0428674E-7, 4.6555482E-7, 3.9596566E-7, -1.7611072E-5, -4.742772E-6, -6.670782E-6, -6.197512E-6, 2.3934597E-5, 6.0836223E-6, 9.3801045E-6, 8.470871E-6, -9.5892075E-4, -2.6135077E-4, -3.6759392E-4, -3.2997612E-4, 0.0, 0.0, 0.0, 0.0, -2.1786071E-4, -2.167893E-5, -1.6606373E-5, -1.7957545E-4, -1.1216954E-5, -7.5693597E-6, -2.4766641E-6, -1.1709294E-6, -1.9353036E-5, -3.0077395E-6, -5.920543E-6, -1.0424765E-5, 
46.77397, -8.92596E-4, -2.465201E-4, -3.3274235E-4, -3.1333367E-4, 7.965445E-6, 2.1652097E-6, 3.2333055E-6, 2.5669297E-6, -3.9399734E-7, -7.4970885E-8, -1.0544767E-7, -2.1357884E-7, 2.527839E-5, 6.4313526E-6, 9.941557E-6, 8.905484E-6, -9.028173E-4, -2.4507736E-4, -3.44705E-4, -3.1303513E-4, 0.0, 0.0, 0.0, 0.0, -8.757152E-6, -9.114765E-7, -3.4171725E-7, -7.503958E-6, -1.3270038E-5, -8.962305E-6, -7.142732E-7, -3.5934593E-6, -6.0126365E-7, -9.056178E-8, -5.0749012E-8, -4.5995282E-7, 
67.848526, -8.703291E-4, -2.3093566E-4, -3.2311724E-4, -3.1627624E-4, 1.0332928E-5, 2.8683542E-6, 4.2084403E-6, 3.2561334E-6, -9.036073E-8, -1.2028118E-8, -1.691776E-8, -6.141485E-8, 2.5740623E-5, 6.5994286E-6, 1.0052763E-5, 9.088429E-6, -8.8570215E-4, -2.3976494E-4, -3.3723275E-4, -3.0870448E-4, 0.0, 0.0, 0.0, 0.0, -1.9076231E-5, -5.3755616E-7, -6.615309E-8, -1.8472521E-5, -3.5297848E-10, -2.5301747E-10, -9.996102E-11, 0.0, -1.5335908E-6, -8.865176E-8, -6.254512E-8, -1.3823939E-6, 
87.59372, -8.8877225E-4, -2.3265675E-4, -3.1735655E-4, -3.3875904E-4, 1.2224812E-5, 3.4147795E-6, 5.0960325E-6, 3.7139998E-6, -4.4093518E-8, -3.7183958E-9, -5.22998E-9, -3.514514E-8, 2.6130947E-5, 6.6890475E-6, 1.0334898E-5, 9.1070015E-6, -8.7245187E-4, -2.3542406E-4, -3.3112752E-4, -3.0590026E-4, 0.0, 0.0, 0.0, 0.0, -4.3099204E-5, -7.5201785E-7, -4.7858157E-7, -4.1868603E-5, -8.497291E-6, -6.4816836E-6, -1.0007217E-6, -1.0148852E-6, -3.0357287E-6, -9.914741E-8, -1.7540857E-7, -2.761173E-6, 
100.433815, -8.797572E-4, -2.2452838E-4, -3.0993178E-4, -3.4529725E-4, 1.4476116E-5, 4.064405E-6, 6.061416E-6, 4.3502937E-6, -1.5536683E-8, -9.06555E-10, -1.2750833E-9, -1.3355045E-8, 2.64598E-5, 6.779823E-6, 1.0465534E-5, 9.214444E-6, -8.568837E-4, -2.3072177E-4, -3.245136E-4, -3.0164837E-4, 0.0, 0.0, 0.0, 0.0, -5.3839616E-5, -6.640634E-7, -5.221845E-7, -5.2653373E-5, -5.742431E-6, -3.857598E-6, -1.1407799E-6, -7.440521E-7, -4.2120687E-6, -1.2827856E-7, -2.809112E-7, -3.802879E-6, 
120.67447, -8.7131246E-4, -2.2134291E-4, -3.0236514E-4, -3.4760436E-4, 1.655971E-5, 4.6400332E-6, 6.9799344E-6, 4.9397418E-6, -6.6320993E-9, -2.5097507E-10, -3.5300032E-10, -6.0281233E-9, 2.6853324E-5, 6.883152E-6, 1.0643682E-5, 9.32649E-6, -8.423852E-4, -2.2622365E-4, -3.1818697E-4, -2.9797465E-4, 0.0, 0.0, 0.0, 0.0, -5.9889142E-5, -7.529864E-7, -4.2199315E-7, -5.8714162E-5, -7.68116E-6, -5.7575126E-6, -1.1201938E-6, -8.034539E-7, -4.7633444E-6, -1.3166357E-7, -2.5931595E-7, -4.3723644E-6, 
142.87262, -8.6526497E-4, -2.1940879E-4, -3.003951E-4, -3.4546113E-4, 1.7809927E-5, 4.974438E-6, 7.571559E-6, 5.263929E-6, -3.2016543E-9, -9.537933E-11, -1.3415248E-10, -2.9721223E-9, 2.7114651E-5, 6.957144E-6, 1.0758272E-5, 9.399237E-6, -8.330855E-4, -2.2347004E-4, -3.1431403E-4, -2.953014E-4, 0.0, 0.0, 0.0, 0.0, -5.5846816E-5, -8.462009E-7, -4.7468632E-7, -5.4525928E-5, -1.660113E-5, -6.907695E-6, -3.7383495E-6, -5.955086E-6, -4.652956E-6, -1.16328785E-7, -1.9773654E-7, -4.3388904E-6, 
161.6477, -8.592728E-4, -2.1414271E-4, -2.9309044E-4, -3.5203955E-4, 1.9425996E-5, 5.4582842E-6, 8.2037195E-6, 5.7639913E-6, -1.8244167E-9, -3.729009E-11, -5.2449066E-11, -1.7346773E-9, 2.7416761E-5, 7.0554856E-6, 1.0874881E-5, 9.486391E-6, -8.2285644E-4, -2.2028912E-4, -3.0984E-4, -2.9272746E-4, 0.0, 0.0, 0.0, 0.0, -6.824841E-5, -7.1333085E-7, -4.3494987E-7, -6.7100125E-5, -9.214719E-6, -5.52644E-6, -1.6464736E-6, -2.041806E-6, -5.7941124E-6, -1.275773E-7, -2.47679E-7, -5.4188567E-6, 
185.69318, -8.547074E-4, -2.0843395E-4, -2.8744584E-4, -3.5882773E-4, 2.1078158E-5, 5.9313834E-6, 8.908326E-6, 6.2384497E-6, -8.614088E-10, -1.3228555E-11, -1.8606167E-11, -8.2957385E-10, 2.7677212E-5, 7.1353484E-6, 1.0985009E-5, 9.556851E-6, -8.121278E-4, -2.1708006E-4, -3.053263E-4, -2.8972153E-4, 0.0, 0.0, 0.0, 0.0, -7.9027646E-5, -7.101397E-7, -4.3663493E-7, -7.7880875E-5, -5.577831E-6, -3.5963496E-6, -1.3122059E-6, -6.692756E-7, -6.7287046E-6, -1.14107365E-7, -2.640092E-7, -6.3505895E-6, 
209.74063, -8.716535E-4, -2.084587E-4, -2.8400743E-4, -3.7918726E-4, 2.1603097E-5, 6.07895E-6, 9.196029E-6, 6.328118E-6, -8.126659E-10, -8.46067E-12, -1.1900057E-11, -7.923051E-10, 2.7763072E-5, 7.148299E-6, 1.101651E-5, 9.598264E-6, -8.0870045E-4, -2.157378E-4, -3.0343872E-4, -2.895239E-4, 0.0, 0.0, 0.0, 0.0, -9.9155266E-5, -9.059177E-7, -3.9056664E-7, -9.7858785E-5, -4.858223E-6, -4.858223E-6, -2.5967748E-14, -1.7809811E-14, -8.3048735E-6, -1.8400969E-7, -3.9067805E-7, -7.730186E-6, 
