#    time,   allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
25.700144, -9.786801E-4, -2.1762578E-4, -1.9867501E-4, -5.62379E-4, 0.0, 0.0, 0.0, 0.0, -9.021228E-4, -2.0109971E-4, -1.6128732E-4, -5.3973525E-4, -7.655766E-5, -1.6525986E-5, -3.738771E-5, -2.2643955E-5, 
46.77397, -8.81969E-4, -1.9418307E-4, -1.8030412E-4, -5.074817E-4, 0.0, 0.0, 0.0, 0.0, -7.95342E-4, -1.7538725E-4, -1.3746734E-4, -4.8248732E-4, -8.662704E-5, -1.8795856E-5, -4.283679E-5, -2.4994397E-5, 
67.848526, -8.6993026E-4, -1.9125911E-4, -1.7734895E-4, -5.0132215E-4, 0.0, 0.0, 0.0, 0.0, -7.8072934E-4, -1.7140052E-4, -1.3429421E-4, -4.7503458E-4, -8.920083E-5, -1.9858582E-5, -4.3054722E-5, -2.6287531E-5, 
87.59372, -8.6583605E-4, -1.8915073E-4, -1.7926982E-4, -4.9741537E-4, 0.0, 0.0, 0.0, 0.0, -7.7069603E-4, -1.6827299E-4, -1.3183753E-4, -4.7058554E-4, -9.514003E-5, -2.0877775E-5, -4.7432306E-5, -2.6829939E-5, 
100.433815, -8.570697E-4, -1.8688619E-4, -1.784557E-4, -4.9172784E-4, 0.0, 0.0, 0.0, 0.0, -7.580327E-4, -1.649036E-4, -1.2919557E-4, -4.639336E-4, -9.903698E-5, -2.1982583E-5, -4.926014E-5, -2.7794249E-5, 
120.67447, -8.5007027E-4, -1.8468841E-4, -1.7823733E-4, -4.871444E-4, 0.0, 0.0, 0.0, 0.0, -7.4660755E-4, -1.6168687E-4, -1.2667483E-4, -4.5824578E-4, -1.03462626E-4, -2.3001538E-5, -5.1562518E-5, -2.8898565E-5, 
142.87262, -8.457595E-4, -1.8375202E-4, -1.7849602E-4, -4.835114E-4, 0.0, 0.0, 0.0, 0.0, -7.389701E-4, -1.5971827E-4, -1.251324E-4, -4.5411944E-4, -1.0678941E-4, -2.4033774E-5, -5.3363623E-5, -2.9392015E-5, 
161.6477, -8.41547E-4, -1.8211921E-4, -1.7901925E-4, -4.8040843E-4, 0.0, 0.0, 0.0, 0.0, -7.309504E-4, -1.5744472E-4, -1.2335107E-4, -4.5015456E-4, -1.1059655E-4, -2.467448E-5, -5.5668188E-5, -3.0253896E-5, 
185.69318, -8.36578E-4, -1.8075609E-4, -1.7921912E-4, -4.7660287E-4, 0.0, 0.0, 0.0, 0.0, -7.2223257E-4, -1.5515098E-4, -1.21554076E-4, -4.4552746E-4, -1.1434552E-4, -2.5605095E-5, -5.7665035E-5, -3.1075386E-5, 
209.74063, -8.352025E-4, -1.7955675E-4, -1.7930457E-4, -4.7634114E-4, 0.0, 0.0, 0.0, 0.0, -7.2021753E-4, -1.5419176E-4, -1.20802564E-4, -4.452232E-4, -1.14984956E-4, -2.5365E-5, -5.850201E-5, -3.111794E-5, 
