Time (s) ,simulation time step (s)
2.1042812, -0.58169526
4.148017, -0.15368108
8.35984, 0.4483789
10.503698, 0.030260617
12.648023, 0.3312906
16.936674, 0.6323206
25.513973, 0.9333506
42.668575, 1.2343806
45.35522, 0.11230829
47.94545, 0.41333827
51.67931, 0.27113461
55.413223, 0.5721646
62.881058, 0.8731946
77.81673, 1.1742246
107.68806, 1.4752545
111.08758, 0.23056994
114.488525, 0.53159994
121.29042, 0.8326299
134.89421, 1.13366
162.10179, 1.4346899
164.71732, 0.11689836
167.33507, 0.41792837
169.38515, 0.011221893
171.4375, 0.3122519
175.5422, 0.6132819
183.75162, 0.9143119
200.17043, 1.2153419
203.6341, 0.18403348
206.68947, 0.4850635
212.8002, 0.7860935
225.02168, 1.0871235
249.46461, 1.3881534
252.19933, 0.13613564
254.93564, 0.43716565
260.40826, 0.73819566
271.35352, 1.0392256
293.24402, 1.3402556
337.025, 1.6412857
339.24704, -0.2166495
342.8904, 0.3854105
347.74823, 0.68644047
357.46384, 0.9874705
376.89508, 1.2885004
379.38287, 0.094897434
381.8713, 0.39592743
386.8482, 0.6969574
396.80197, 0.99798745
416.7095, 1.2990174
456.52457, 1.6000475
458.86816, 0.06936853
461.21457, 0.37039852
465.90732, 0.6714285
475.29285, 0.97245854
494.06387, 1.2734885
531.60596, 1.5745186
534.07275, 0.0476933
536.3049, 0.3487233
540.76917, 0.6497533
549.6978, 0.9507833
567.555, 1.2518133
570.0795, 0.10136531
572.6053, 0.4023953
575.8454, 0.20975888
579.0872, 0.51078886
585.57086, 0.8118189
598.53815, 1.1128489
624.4727, 1.4138789
676.34186, 1.7149088
679.9545, 0.25712454
683.5699, 0.5581545
690.80066, 0.8591845
705.2622, 1.1602145
707.27905, 0.0041062837
709.29803, 0.3051363
713.33606, 0.6061663
721.41205, 0.9071963
737.564, 1.2082263
769.86804, 1.5092562
834.476, 1.8102863
934.476, 2.0
937.33936, 0.15632075
940.2059, 0.45735073
945.93884, 0.7583807
957.4048, 1.0594107
980.33673, 1.3604407
1000.0, 1.2936558
1002.55, 0.10720996
1004.6593, -0.18414634
1006.9639, -0.4737591
1009.39703, -0.21129476
1012.0091, -0.13430114
1014.2189, 0.16825734
1016.594, -0.1779347
1018.5978, 0.12575188
1020.7864, -0.49958247
1023.0492, 0.11160633
1025.4927, 0.039725833
1028.1113, 0.11754882
1031.551, 0.23660439
1033.9032, -0.38214216
1036.3921, 0.21991782
1038.5083, -0.044506166
1041.2104, 0.13152382
1043.9911, 0.14579827
1046.6082, 0.025059905
1049.6327, 0.17988443
1051.8599, -0.05269074
1053.9976, -0.43625748
1057.5381, 0.23530285
1060.0, -0.09980895
1062.5499, 0.10720996
1065.11, 0.40823996
1070.23, 0.70926994
1080.47, 1.0102999
1100.95, 1.31133
1103.2743, -0.42217878
1105.9272, 0.18069819
1108.9592, 0.4817282
1115.0232, 0.7827582
1127.1512, 1.0837882
1151.4071, 1.3848182
1199.9191, 1.6858481
1202.543, -0.07651529
1205.9249, 0.22933026
1208.0824, 0.035403173
1210.2523, 0.33643317
1212.3212, -0.8556778
1216.5037, 0.3484422
1220.9651, 0.6494722
1229.888, 0.95050216
1247.7335, 1.2515322
1283.4248, 1.5525621
1285.8583, 0.010245169
1288.1025, 0.052210923
1290.358, 0.3532409
1294.869, 0.6542709
1303.891, 0.9553009
1321.9349, 1.2563308
1324.4175, -0.1604881
1328.5638, 0.4415719
1334.0923, 0.7426019
1336.889, 0.14833507
1339.7032, 0.44936508
1345.3318, 0.75039506
1356.5889, 1.0514251
1379.103, 1.352455
1424.1312, 1.6534851
1426.3475, -0.020463783
1432.0714, 0.5815962
1434.2599, -0.3219017
1437.5739, 0.20125374
1440.7528, 0.50228375
1447.1107, 0.80331373
1459.8265, 1.1043438
1485.2582, 1.4053737
1536.1213, 1.7064037
1539.1095, 0.022369405
1541.9165, 0.2440387
1545.4246, 0.5450687
1552.4407, 0.84609866
1566.473, 1.1471287
1594.5376, 1.4481586
1600.4064, 0.7685488
1606.3071, 0.7709132
1618.1089, 1.0719432
1641.7122, 1.3729732
1688.9188, 1.6740031
1783.3322, 1.9750332
1883.3322, 2.0
1886.1737, 0.028911497
1888.3114, 0.32994148
1892.5867, 0.6309715
1901.1375, 0.9320015
1918.2388, 1.2330315
1952.4417, 1.5340614
2000.0, 1.6772268
