Time (s) ,simulation time step (s)
2.3945482, -0.2216906
4.4163074, -0.7362571
6.98594, 0.16683292
9.922663, 0.4678629
13.8661585, 0.2949798
17.81082, 0.5960098
25.700144, 0.89703983
28.333736, 0.11963846
30.968056, 0.42066845
36.236694, 0.72169846
46.77397, 1.0227284
67.848526, 1.3237585
70.31582, 0.09136289
72.78409, 0.39239287
77.720634, 0.69342285
87.59372, 0.9944529
90.801956, 0.20555897
94.01257, 0.50658894
100.433815, 0.807619
113.2763, 1.1086489
116.97477, 0.26713574
120.67447, 0.5681657
128.07385, 0.86919576
142.87262, 1.1702257
145.21948, 0.069462605
147.56638, 0.3704926
152.26015, 0.6715226
161.6477, 0.9725526
164.65164, 0.17694928
167.65758, 0.47797927
173.66943, 0.7790093
185.69318, 1.0800393
209.74063, 1.3810693
212.75598, 0.17861721
215.77348, 0.4796472
221.80849, 0.7806772
233.87848, 1.0817072
258.01846, 1.3827372
260.38675, 0.07373694
262.75687, 0.37476695
267.49707, 0.6757969
276.97748, 0.9768269
295.9383, 1.277857
333.8599, 1.5788869
337.1148, 0.20336796
340.30927, 0.504398
346.69818, 0.80542797
349.24402, -0.21620893
352.89108, 0.38585106
357.7538, 0.68688107
367.47928, 0.98791105
386.93024, 1.288941
425.83218, 1.5899711
503.63602, 1.891001
506.5973, 0.17048526
509.5588, 0.47151527
515.4819, 0.7725453
517.6103, 0.0275401
519.7413, 0.3285701
524.0031, 0.6296001
532.52686, 0.9306301
549.57434, 1.2316601
583.6693, 1.53269
651.8592, 1.8337201
655.05225, 0.18629724
658.12354, 0.48732725
664.26624, 0.78835726
676.5516, 1.0893872
701.12225, 1.3904172
750.2636, 1.6914473
752.9908, 0.13516471
755.721, 0.4361947
761.1814, 0.7372247
772.10223, 1.0382547
793.94385, 1.3392847
837.6271, 1.6403147
840.53516, 0.1627896
843.44464, 0.4638196
849.2637, 0.7648496
860.9017, 1.0658796
884.17773, 1.3669096
930.72986, 1.6679395
1000.0, 1.8405461
1002.55005, 0.10720996
1005.11005, 0.40823996
1007.6484, -0.0935255
1009.79987, -0.7588914
1012.3088, -0.115403354
1014.5443, -0.15350935
1016.567, -0.03671408
1019.63153, 0.030517768
1022.0089, 0.0750695
1025.6683, 0.3873193
1027.7887, -0.46836385
1030.1731, 0.1343567
1032.7959, -0.20107116
1035.3815, -0.16426834
1037.4425, 0.13800567
1039.8058, -0.05025664
1041.8285, -1.3199733
1044.7963, 0.18517666
1046.9681, -0.49023914
1051.496, 0.41285083
1053.5084, -0.016711464
1055.909, 0.08131785
1058.3209, 0.38234785
1060.63, -0.49485004
1065.1101, 0.40823996
1070.2301, 0.70926994
1080.4701, 1.0102999
1100.9501, 1.31133
1141.91, 1.6123599
1144.081, -0.6515856
1146.1208, -0.7424688
1148.6539, 0.16062121
1151.549, 0.4616512
1154.2922, 0.13992196
1157.0525, 0.44095197
1162.573, 0.741982
1173.6141, 1.0430119
1175.6171, -0.7287396
1178.8198, 0.21232115
1182.0808, 0.51335114
1188.6028, 0.8143811
1201.6469, 1.1154112
1227.7349, 1.4164411
1229.9348, -0.32723606
1231.9785, 0.13430735
1234.7032, 0.43533733
1240.153, 0.73636734
1251.0522, 1.0373974
1272.8507, 1.3384273
1275.2577, -0.072047494
1280.3405, 0.5300125
1287.1176, 0.83104247
1300.6718, 1.1320724
1302.73, -0.29475665
1305.1438, 0.20660459
1308.3622, 0.5076346
1314.7988, 0.80866456
1327.6724, 1.1096946
1329.8955, -0.574174
1333.6276, 0.32891598
1337.8928, 0.629946
1346.4233, 0.930976
1363.4845, 1.232006
1397.6066, 1.533036
1400.4714, 0.15674736
1403.3407, 0.45777735
1407.2899, 0.29713994
1411.2543, 0.5981699
1419.1829, 0.89919996
1435.0402, 1.2002299
1437.4388, -0.22298086
1441.0295, 0.37907913
1445.817, 0.68010914
1455.3921, 0.9811391
1474.5421, 1.2821691
1512.842, 1.5831991
1515.3474, -0.06567348
1518.786, 0.23535652
1521.2712, 0.39537418
1526.2418, 0.69640416
1536.183, 0.99743414
1556.0652, 1.2984642
1595.8295, 1.5994941
1600.56, 0.6749085
1602.943, 0.377116
1607.7665, 0.4508634
1613.4144, 0.7518934
1624.7104, 1.0529234
1647.3024, 1.3539534
1692.4862, 1.6549834
1782.854, 1.9560133
1882.854, 2.0
1885.0126, 0.33418173
1887.1926, 0.33845285
1891.5525, 0.63948286
1900.2725, 0.94051284
1917.7123, 1.2415428
1952.592, 1.5425729
1957.4066, 0.6825619
1959.8184, 0.38231736
1962.0806, -0.31247413
1966.5095, 0.40326422
1971.5713, 0.7042942
1981.6946, 1.0053242
2000.0, 1.2625796
