#    time,   elecNode0ground, elecNode0surface, elecNode1ground, elecNode1surface, elecNode2ground, elecNode2surface, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
25.700144, -1392.9086, -1392.9095, -1392.9086, -1392.9081, -1392.9086, -1073.7291, 
46.77397, -2432.651, -2432.6494, -2432.651, -2432.65, -2432.651, -1874.216, 
67.848526, -2595.5852, -2595.5864, -2595.5852, -2595.584, -2595.5852, -1804.472, 
87.59372, -3194.6255, -3194.6252, -3194.6255, -3194.6243, -3194.6255, -2222.8774, 
100.433815, -3670.938, -3670.939, -3670.938, -3670.9375, -3670.938, -2594.3386, 
120.67447, -4345.805, -4345.8057, -4345.805, -4345.803, -4345.805, -3108.811, 
142.87262, -4498.899, -4498.902, -4498.899, -4498.8984, -4498.899, -3077.6926, 
161.6477, -4974.2485, -4974.25, -4974.2485, -4974.2495, -4974.2485, -3437.6912, 
185.69318, -5336.481, -5336.484, -5336.481, -5336.481, -5336.481, -3645.3948, 
209.74063, -5488.551, -5488.551, -5488.551, -5488.552, -5488.551, -3619.3313, 
221.80849, -6062.1426, -6062.1436, -6062.1426, -6062.1416, -6062.1426, -4145.8, 
258.01846, -6252.6943, -6252.6953, -6252.6943, -6252.693, -6252.6943, -4105.5864, 
260.38675, -6616.8047, -6616.811, -6616.8047, -6616.803, -6616.8047, -4479.1943, 
295.9383, -6773.169, -6773.17, -6773.169, -6773.165, -6773.169, -4454.052, 
333.8599, -6955.731, -6955.7295, -6955.731, -6955.727, -6955.731, -4425.2134, 
333.89548, -7134.4404, -7134.4414, -7134.4404, -7134.4404, -7134.4404, -4608.438, 
340.30927, -7518.399, -7518.398, -7518.399, -7518.397, -7518.399, -4988.5024, 
367.47928, -7904.268, -7904.268, -7904.268, -7904.266, -7904.268, -5277.6816, 
386.93024, -7971.1885, -7971.192, -7971.1885, -7971.1875, -7971.1885, -5261.001, 
425.83218, -8116.1836, -8116.1826, -8116.1836, -8116.182, -8116.1836, -5239.4106, 
503.63602, -8385.809, -8385.81, -8385.809, -8385.807, -8385.809, -5207.662, 
503.68204, -8572.991, -8572.987, -8572.991, -8572.992, -8572.991, -5396.996, 
503.72833, -8608.718, -8608.725, -8608.718, -8608.716, -8608.718, -5434.282, 
503.82086, -8753.17, -8753.17, -8753.17, -8753.166, -8753.17, -5580.7773, 
504.00595, -8734.104, -8734.107, -8734.104, -8734.1, -8734.104, -5562.205, 
524.0031, -9110.645, -9110.654, -9110.645, -9110.644, -9110.645, -5945.922, 
549.57434, -9155.9375, -9155.941, -9155.9375, -9155.9375, -9155.9375, -5925.0806, 
583.6693, -9227.588, -9227.597, -9227.588, -9227.584, -9227.588, -5907.7607, 
651.8592, -9420.433, -9420.444, -9420.433, -9420.433, -9420.433, -5882.7656, 
651.92944, -9592.469, -9592.474, -9592.469, -9592.472, -9592.469, -6058.7466, 
652.0032, -9569.188, -9569.183, -9569.188, -9569.1875, -9569.188, -6037.9717, 
652.07684, -9701.083, -9701.088, -9701.083, -9701.085, -9701.083, -6172.366, 
664.26624, -9787.245, -9787.241, -9787.245, -9787.244, -9787.245, -6251.8345, 
701.12225, -9855.55, -9855.548, -9855.55, -9855.544, -9855.55, -6233.1353, 
750.2636, -9935.184, -9935.19, -9935.184, -9935.175, -9935.184, -6217.961, 
750.34595, -10106.263, -10106.261, -10106.263, -10106.265, -10106.263, -6393.93, 
750.4313, -10040.964, -10040.96, -10040.964, -10040.962, -10040.964, -6331.4565, 
761.1814, -10148.91, -10148.915, -10148.91, -10148.908, -10148.91, -6438.062, 
793.94385, -10181.693, -10181.697, -10181.693, -10181.6875, -10181.693, -6421.7324, 
837.6271, -10258.183, -10258.18, -10258.183, -10258.179, -10258.183, -6414.7236, 
837.80743, -10417.816, -10417.821, -10417.816, -10417.81, -10417.816, -6578.797, 
840.53516, -10435.302, -10435.305, -10435.302, -10435.3, -10435.302, -6604.1353, 
860.9017, -10440.746, -10440.757, -10440.746, -10440.745, -10440.746, -6593.274, 
884.17773, -10460.468, -10460.466, -10460.468, -10460.461, -10460.468, -6584.927, 
