Time (s), esn 0 surface potential difference wrt to esn ground(V)
10.004141, -5.770319
20.60349, -7.1178455
31.736023, -24.360802
42.584393, -55.580704
54.993843, -83.10157
65.314285, -97.83142
75.379776, -99.410416
89.25104, -118.65258
102.321465, -133.94052
112.98028, -155.65889
126.77251, -162.13988
142.59341, -161.381
169.59946, -144.99207
181.3832, -147.4274
193.43687, -177.95923
212.64473, -180.24356
224.34773, -172.6372
241.98785, -147.77832
260.51187, -143.20166
271.9116, -160.47668
283.54352, -168.93274
298.2867, -161.55122
309.19302, -184.19727
320.75186, -159.54785
332.57407, -165.18115
347.3159, -144.98389
363.04065, -147.11035
384.21808, -146.87634
399.2076, -213.63379
415.37927, -184.50302
430.5317, -180.24393
443.5159, -165.42822
457.58667, -185.7378
468.32144, -176.25244
479.4181, -180.23047
493.498, -160.14648
508.62622, -178.3584
528.36865, -159.40492
542.2951, -155.33398
577.1393, -138.08568
606.07697, -112.91522
619.93677, -84.573235
632.38696, -112.22949
645.91327, -77.42285
745.91327, 26.966797
766.0475, 4.5409155
777.7898, 9.811523
877.7898, 73.930664
977.7898, 146.13574
1077.7898, 132.1416
