Time (s), esn 3 average surface potential (V), esn 3 ground potential (V), esn 3 min surface potential (V), esn 3 max surface potential (V)
10.004141, -148.14737, -143.83142, -184.74323, -97.9075
20.60349, -410.9542, -420.91638, -458.71988, -341.12146
31.736023, -741.45447, -768.74896, -857.5936, -591.50464
42.584393, -1036.9065, -1069.0306, -1191.6686, -843.424
54.993843, -1392.44, -1435.3507, -1588.907, -1144.112
65.314285, -1758.3698, -1825.176, -1909.3293, -1574.7717
75.379776, -2038.7, -2132.828, -2246.1917, -1763.202
89.25104, -2315.9656, -2431.198, -2521.1787, -2054.7083
102.321465, -2548.9453, -2677.408, -2815.288, -2217.05
112.98028, -2929.227, -3084.0488, -3156.777, -2660.8088
126.77251, -3167.7075, -3346.791, -3441.7744, -2838.1938
142.59341, -3395.5117, -3607.8755, -3705.7651, -3021.8967
169.59946, -3753.5938, -3990.133, -4201.9595, -3229.9038
181.3832, -4009.1128, -4256.0103, -4506.145, -3438.9302
193.43687, -4368.9907, -4631.43, -4708.49, -3984.9893
212.64473, -4682.5776, -4991.506, -5019.746, -4280.059
224.34773, -4828.586, -5169.5923, -5263.458, -4321.276
241.98785, -5048.5005, -5419.9385, -5566.0127, -4432.673
260.51187, -5307.6543, -5558.99, -5808.234, -4698.003
271.9116, -5652.8564, -5936.7695, -6015.9126, -5221.9775
283.54352, -5776.73, -6101.457, -6201.081, -5282.6094
298.2867, -5997.982, -6370.4023, -6462.234, -5452.9067
309.19302, -6065.861, -6472.927, -6600.7266, -5472.236
320.75186, -6216.634, -6652.6157, -6788.922, -5567.0474
332.57407, -6274.557, -6716.2476, -6863.353, -5632.8345
347.3159, -6460.836, -6925.836, -7088.0493, -5762.6035
363.04065, -6540.3936, -7011.308, -7188.8955, -5844.8306
384.21808, -6803.2163, -7305.0728, -7368.579, -6176.5015
399.2076, -6914.2417, -7449.2656, -7514.448, -6251.2085
415.37927, -7081.4453, -7626.7793, -7661.9077, -6442.083
430.5317, -7235.204, -7797.794, -7794.5356, -6622.9336
443.5159, -7398.7754, -7979.714, -7971.0576, -6752.3228
457.58667, -7442.6484, -8034.483, -8040.4717, -6788.8784
468.32144, -7565.158, -8165.78, -8163.7007, -6900.896
479.4181, -7600.412, -8213.773, -8205.687, -6946.6343
493.498, -7744.738, -8374.356, -8369.387, -7051.1333
508.62622, -7778.6147, -8412.593, -8415.084, -7096.147
528.36865, -7940.694, -8596.466, -8490.274, -7330.9893
542.2951, -8004.9004, -8680.101, -8579.015, -7375.049
577.1393, -8126.9136, -8823.254, -8645.637, -7536.866
606.07697, -8236.286, -8965.95, -8699.801, -7702.8906
619.93677, -8331.965, -9069.535, -8742.641, -7878.9297
632.38696, -8446.186, -9206.624, -8906.285, -7909.1733
645.91327, -8460.048, -9223.796, -8956.317, -7896.649
745.91327, -8536.069, -9424.904, -8975.667, -7913.912
766.0475, -8715.975, -9592.264, -9149.911, -8179.5073
777.7898, -8786.826, -9659.495, -9263.938, -8244.603
877.7898, -8966.875, -9804.031, -9363.961, -8398.881
977.7898, -8980.865, -9946.368, -9385.759, -8379.973
1077.7898, -9035.234, -10077.264, -9463.9795, -8422.396
