Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 10.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.010747164
70.0, 0.019626778
80.0, 0.027244769
90.0, 0.033916723
100.0, 0.039849237
110.0, 0.045186765
120.0, 0.050034776
130.0, 0.054472752
140.0, 0.058562163
150.0, 0.062351532
160.0, 0.06587986
170.0, 0.06917899
180.0, 0.07227522
190.0, 0.07519057
200.0, 0.07794365
210.0, 0.0805503
220.0, 0.08302419
230.0, 0.08537708
240.0, 0.08761931
250.0, 0.089759886
260.0, 0.09180676
270.0, 0.09376702
280.0, 0.09564692
290.0, 0.09745212
300.0, 0.099187635
310.0, 0.10085806
320.0, 0.10246749
330.0, 0.10401967
340.0, 0.10551803
350.0, 0.10696564
360.0, 0.10836538
370.0, 0.10971986
380.0, 0.11103146
390.0, 0.1123024
400.0, 0.113534786
410.0, 0.114730455
420.0, 0.115891196
430.0, 0.11701865
440.0, 0.11811431
450.0, 0.119179666
460.0, 0.12021596
470.0, 0.1212245
480.0, 0.12220646
490.0, 0.12316289
500.0, 0.12409484
510.0, 0.12500328
520.0, 0.12588911
530.0, 0.1267532
540.0, 0.12759635
550.0, 0.12841934
560.0, 0.12922291
570.0, 0.1300077
580.0, 0.13077444
590.0, 0.13152365
600.0, 0.132256
610.0, 0.13297202
620.0, 0.13367224
630.0, 0.13435717
640.0, 0.13502729
650.0, 0.13568306
660.0, 0.13632494
670.0, 0.13695332
680.0, 0.13756862
690.0, 0.13817123
700.0, 0.13876149
710.0, 0.13933977
720.0, 0.13990644
730.0, 0.14046173
740.0, 0.14100608
750.0, 0.1415397
760.0, 0.14206289
770.0, 0.14257592
780.0, 0.1430791
790.0, 0.14357264
800.0, 0.1440568
810.0, 0.14453183
820.0, 0.14499792
830.0, 0.14545533
840.0, 0.14590426
850.0, 0.14634489
860.0, 0.14677747
870.0, 0.14720212
880.0, 0.1476191
890.0, 0.14802852
900.0, 0.14843062
910.0, 0.1488255
920.0, 0.14921334
930.0, 0.14959434
940.0, 0.14996858
950.0, 0.15033627
960.0, 0.15069753
970.0, 0.15105249
980.0, 0.15140128
990.0, 0.15174404
1000.0, 0.15208088
1010.0, 0.15191504
1020.0, 0.15174952
1030.0, 0.15158433
