Energy (in eV), backscattering yield of material gr2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.08909285
70.0, 0.11395843
80.0, 0.13148747
90.0, 0.1452084
100.0, 0.15651408
110.0, 0.16612907
120.0, 0.17448694
130.0, 0.18187058
140.0, 0.18847588
150.0, 0.19444455
160.0, 0.19988264
170.0, 0.2048717
180.0, 0.20947573
190.0, 0.21374606
200.0, 0.21772443
210.0, 0.22144514
220.0, 0.22493696
230.0, 0.228224
240.0, 0.23132682
250.0, 0.23426308
260.0, 0.23704799
270.0, 0.2396948
280.0, 0.24221514
290.0, 0.24461922
300.0, 0.24691604
310.0, 0.24911365
320.0, 0.25121924
330.0, 0.2532392
340.0, 0.25517938
350.0, 0.2570449
360.0, 0.25884062
370.0, 0.26057076
380.0, 0.26223922
390.0, 0.26384962
400.0, 0.2654053
410.0, 0.26690918
420.0, 0.2683641
430.0, 0.2697726
440.0, 0.27113703
450.0, 0.27245963
460.0, 0.27374238
470.0, 0.27498722
480.0, 0.2761959
490.0, 0.2773701
500.0, 0.27851132
510.0, 0.27962098
520.0, 0.28070045
530.0, 0.281751
540.0, 0.28277382
550.0, 0.28377002
560.0, 0.28474066
570.0, 0.28568667
580.0, 0.28660914
590.0, 0.2875088
600.0, 0.28838658
610.0, 0.28924322
620.0, 0.29007947
630.0, 0.2908961
640.0, 0.29169372
650.0, 0.29247305
660.0, 0.29323462
670.0, 0.29397908
680.0, 0.29470694
690.0, 0.29541874
700.0, 0.29611498
710.0, 0.29679617
720.0, 0.29746273
730.0, 0.29811513
740.0, 0.2987538
750.0, 0.2993791
760.0, 0.29999146
770.0, 0.30059117
780.0, 0.30117875
790.0, 0.3017544
800.0, 0.30231845
810.0, 0.3028713
820.0, 0.30341315
830.0, 0.30394438
840.0, 0.3044652
850.0, 0.3049759
860.0, 0.30547678
870.0, 0.30596802
880.0, 0.30644998
890.0, 0.3069227
900.0, 0.3073866
910.0, 0.30784178
920.0, 0.30828848
930.0, 0.30872685
940.0, 0.30915716
950.0, 0.3095796
960.0, 0.3099943
970.0, 0.3104015
980.0, 0.3108013
990.0, 0.31119388
1000.0, 0.3115794
1010.0, 0.31138963
1020.0, 0.31120014
1030.0, 0.311011
