Energy (in eV), backscattering yield of material ka2k-NASCAP at incidence 80.0 degree
   X,       Y
0.0, 0.88659793
10.0, 0.7452677
20.0, 0.6264666
30.0, 0.52660316
40.0, 0.44265875
50.0, 0.3720957
60.0, 0.4541297
70.0, 0.49646792
80.0, 0.52427393
90.0, 0.5444493
100.0, 0.5600012
110.0, 0.5725006
120.0, 0.5828591
130.0, 0.59164554
140.0, 0.5992354
150.0, 0.6058878
160.0, 0.611788
170.0, 0.617073
180.0, 0.6218464
190.0, 0.6261884
200.0, 0.63016236
210.0, 0.633819
220.0, 0.63719946
230.0, 0.64033777
240.0, 0.64326215
250.0, 0.6459963
260.0, 0.6485602
270.0, 0.65097135
280.0, 0.6532443
290.0, 0.655392
300.0, 0.6574255
310.0, 0.65935475
320.0, 0.66118824
330.0, 0.66293365
340.0, 0.66459787
350.0, 0.6661868
360.0, 0.66770595
370.0, 0.66916025
380.0, 0.670554
390.0, 0.6718912
400.0, 0.67317563
410.0, 0.6744104
420.0, 0.6755986
430.0, 0.676743
440.0, 0.677846
450.0, 0.67891014
460.0, 0.67993736
470.0, 0.6809297
480.0, 0.681889
490.0, 0.682817
500.0, 0.6837151
510.0, 0.6845849
520.0, 0.6854278
530.0, 0.6862449
540.0, 0.68703747
550.0, 0.6878066
560.0, 0.6885534
570.0, 0.6892787
580.0, 0.6899836
590.0, 0.6906688
600.0, 0.69133514
610.0, 0.6919834
620.0, 0.6926143
630.0, 0.6932285
640.0, 0.6938266
650.0, 0.6944094
660.0, 0.69497716
670.0, 0.69553065
680.0, 0.6960703
690.0, 0.6965966
700.0, 0.6971101
710.0, 0.69761115
720.0, 0.6981002
730.0, 0.6985776
740.0, 0.6990438
750.0, 0.6994992
760.0, 0.699944
770.0, 0.7003786
780.0, 0.7008034
790.0, 0.7012186
800.0, 0.7016246
810.0, 0.70202154
820.0, 0.70240974
830.0, 0.7027894
840.0, 0.70316094
850.0, 0.7035245
860.0, 0.7038802
870.0, 0.70422834
880.0, 0.70456916
890.0, 0.7049028
900.0, 0.7052295
910.0, 0.7055494
920.0, 0.70586276
930.0, 0.70616966
940.0, 0.7064703
950.0, 0.7067648
960.0, 0.7070534
970.0, 0.70733625
980.0, 0.70761335
990.0, 0.70788497
1000.0, 0.70815116
1010.0, 0.7080043
1020.0, 0.70785767
1030.0, 0.7077111
1040.0, 0.7075647
1050.0, 0.70741844
1060.0, 0.70727235
1070.0, 0.70712644
1080.0, 0.70698065
1090.0, 0.706835
1100.0, 0.7066895
1110.0, 0.7065441
1120.0, 0.7063989
1130.0, 0.7062539
1140.0, 0.706109
1150.0, 0.7059642
1160.0, 0.7058196
1170.0, 0.7056751
1180.0, 0.7055308
1190.0, 0.70538664
1200.0, 0.70524263
1210.0, 0.70509875
1220.0, 0.70495504
1230.0, 0.70481145
1240.0, 0.70466805
1250.0, 0.70452476
1260.0, 0.70438164
1270.0, 0.70423865
1280.0, 0.70409584
1290.0, 0.70395315
1300.0, 0.7038106
1310.0, 0.7036682
1320.0, 0.70352596
1330.0, 0.70338386
1340.0, 0.70324194
1350.0, 0.70310014
1360.0, 0.70295846
1370.0, 0.70281696
1380.0, 0.7026756
1390.0, 0.7025344
1400.0, 0.70239335
1410.0, 0.7022524
1420.0, 0.70211166
1430.0, 0.701971
1440.0, 0.70183057
1450.0, 0.7016902
1460.0, 0.70155007
1470.0, 0.70141
1480.0, 0.7012701
1490.0, 0.7011304
1500.0, 0.7009908
1510.0, 0.7008513
1520.0, 0.7007121
