Energy (in eV), backscattering yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.63867396
10.0, 0.35205287
20.0, 0.20683554
30.0, 0.12950352
40.0, 0.08606911
50.0, 0.06031428
60.0, 0.091088854
70.0, 0.112018935
80.0, 0.12806785
90.0, 0.14100212
100.0, 0.15177672
110.0, 0.16097671
120.0, 0.168984
130.0, 0.17605938
140.0, 0.18238764
150.0, 0.18810396
160.0, 0.19331004
170.0, 0.19808428
180.0, 0.20248829
190.0, 0.20657144
200.0, 0.21037392
210.0, 0.21392877
220.0, 0.21726365
230.0, 0.22040169
240.0, 0.2233628
250.0, 0.22616386
260.0, 0.22881952
270.0, 0.23134252
280.0, 0.23374408
290.0, 0.23603396
300.0, 0.23822086
310.0, 0.24031247
320.0, 0.24231574
330.0, 0.24423677
340.0, 0.2460812
350.0, 0.247854
360.0, 0.24955973
370.0, 0.2512025
380.0, 0.2527861
390.0, 0.25431398
400.0, 0.25578928
410.0, 0.25721493
420.0, 0.25859353
430.0, 0.2599276
440.0, 0.26121935
450.0, 0.26247102
460.0, 0.2636844
470.0, 0.26486138
480.0, 0.2660037
490.0, 0.2671129
500.0, 0.26819044
510.0, 0.26923776
520.0, 0.27025607
530.0, 0.27124664
540.0, 0.2722106
550.0, 0.27314898
560.0, 0.2740629
570.0, 0.2749532
580.0, 0.27582085
590.0, 0.27666664
600.0, 0.27749145
610.0, 0.27829593
620.0, 0.27908093
630.0, 0.27984706
640.0, 0.280595
650.0, 0.2813253
660.0, 0.28203866
670.0, 0.28273556
680.0, 0.28341654
690.0, 0.28408214
700.0, 0.28473282
710.0, 0.285369
720.0, 0.28599122
730.0, 0.2865998
740.0, 0.28719527
750.0, 0.28777787
760.0, 0.28834808
770.0, 0.28890622
780.0, 0.2894526
790.0, 0.28998762
800.0, 0.29051152
810.0, 0.29102466
820.0, 0.29152727
830.0, 0.29201964
840.0, 0.2925021
850.0, 0.29297483
860.0, 0.29343817
870.0, 0.29389223
880.0, 0.29433736
890.0, 0.29477373
900.0, 0.29520157
910.0, 0.29562104
920.0, 0.29603243
930.0, 0.29643583
940.0, 0.2968315
950.0, 0.2972196
960.0, 0.2976003
970.0, 0.2979738
980.0, 0.2983402
990.0, 0.29869968
1000.0, 0.29905245
1010.0, 0.29885784
1020.0, 0.29866353
1030.0, 0.29846954
1040.0, 0.29827586
1050.0, 0.2980825
1060.0, 0.2978894
1070.0, 0.2976967
1080.0, 0.29750422
1090.0, 0.2973121
1100.0, 0.29712027
1110.0, 0.29692873
1120.0, 0.29673752
