Energy (in eV), backscattering yield of material np2k-NASCAP at incidence 30.0 degree
   X,       Y
0.0, 0.5486563
10.0, 0.23077585
20.0, 0.097068936
30.0, 0.04082914
40.0, 0.017173555
50.0, 0.007223541
60.0, 0.01951069
70.0, 0.030432338
80.0, 0.039936386
90.0, 0.048212044
100.0, 0.055482626
110.0, 0.061939783
120.0, 0.06773427
130.0, 0.07298199
140.0, 0.07777222
150.0, 0.08217446
160.0, 0.086243615
170.0, 0.09002377
180.0, 0.09355077
190.0, 0.09685418
200.0, 0.0999587
210.0, 0.10288508
220.0, 0.10565105
230.0, 0.10827174
240.0, 0.11076032
250.0, 0.11312818
260.0, 0.1153853
270.0, 0.11754052
280.0, 0.119601645
290.0, 0.1215756
300.0, 0.12346858
310.0, 0.12528615
320.0, 0.12703331
330.0, 0.1287146
340.0, 0.13033414
350.0, 0.13189562
360.0, 0.13340248
370.0, 0.13485785
380.0, 0.13626453
390.0, 0.13762519
400.0, 0.13894226
410.0, 0.14021794
420.0, 0.14145435
430.0, 0.14265336
440.0, 0.14381675
450.0, 0.14494623
460.0, 0.14604329
470.0, 0.1471094
480.0, 0.14814591
490.0, 0.1491541
500.0, 0.15013511
510.0, 0.1510901
520.0, 0.1520201
530.0, 0.15292607
540.0, 0.15380897
550.0, 0.15466966
560.0, 0.155509
570.0, 0.15632771
580.0, 0.15712659
590.0, 0.15790632
600.0, 0.15866758
610.0, 0.15941097
620.0, 0.16013712
630.0, 0.1608466
640.0, 0.16153994
650.0, 0.16221768
660.0, 0.1628803
670.0, 0.16352826
680.0, 0.16416204
690.0, 0.16478205
700.0, 0.1653887
710.0, 0.1659824
720.0, 0.16656351
730.0, 0.16713238
740.0, 0.1676894
750.0, 0.16823485
760.0, 0.16876908
770.0, 0.16929238
780.0, 0.16980508
790.0, 0.17030743
800.0, 0.17079969
810.0, 0.17128216
820.0, 0.17175505
830.0, 0.17221862
840.0, 0.17267312
850.0, 0.17311876
860.0, 0.17355576
870.0, 0.1739843
880.0, 0.17440464
890.0, 0.17481694
900.0, 0.1752214
910.0, 0.17561817
920.0, 0.1760075
930.0, 0.17638947
940.0, 0.1767643
950.0, 0.17713213
960.0, 0.17749316
970.0, 0.17784747
980.0, 0.17819527
990.0, 0.17853662
1000.0, 0.17887174
1010.0, 0.17868683
1020.0, 0.17850229
1030.0, 0.17831807
1040.0, 0.17813417
1050.0, 0.17795064
1060.0, 0.17776743
1070.0, 0.17758457
1080.0, 0.17740202
1090.0, 0.17721984
1100.0, 0.17703798
1110.0, 0.17685644
1120.0, 0.17667525
1130.0, 0.1764944
1140.0, 0.17631388
1150.0, 0.17613368
1160.0, 0.17595382
1170.0, 0.17577428
1180.0, 0.17559509
1190.0, 0.1754162
1200.0, 0.17523766
1210.0, 0.17505945
1220.0, 0.17488156
1230.0, 0.174704
1240.0, 0.17452677
1250.0, 0.17434987
1260.0, 0.17417328
1270.0, 0.17399704
1280.0, 0.1738211
1290.0, 0.1736455
1300.0, 0.17347023
1310.0, 0.17329526
1320.0, 0.17312062
1330.0, 0.1729463
1340.0, 0.1727723
1350.0, 0.17259865
1360.0, 0.1724253
1370.0, 0.17225225
1380.0, 0.17207955
1390.0, 0.17190714
1400.0, 0.17173506
1410.0, 0.1715633
1420.0, 0.17139187
1430.0, 0.17122073
1440.0, 0.17104992
1450.0, 0.17087942
1460.0, 0.17070924
1470.0, 0.17053936
1480.0, 0.1703698
1490.0, 0.17020057
1500.0, 0.17003164
1510.0, 0.16986302
1520.0, 0.1696947
1530.0, 0.16952671
1540.0, 0.16935901
1550.0, 0.16919163
1560.0, 0.16902457
1570.0, 0.1688578
1580.0, 0.16869135
1590.0, 0.16852522
1600.0, 0.16835937
1610.0, 0.16819383
1620.0, 0.16802861
1630.0, 0.16786368
1640.0, 0.16769907
1650.0, 0.16753475
1660.0, 0.16737074
1670.0, 0.16720703
1680.0, 0.16704363
1690.0, 0.16688053
1700.0, 0.16671772
1710.0, 0.16655521
1720.0, 0.16639303
1730.0, 0.16623111
1740.0, 0.16606952
1750.0, 0.1659082
1760.0, 0.1657472
1770.0, 0.16558649
1780.0, 0.16542608
1790.0, 0.16526596
1800.0, 0.16510615
1810.0, 0.16494662
1820.0, 0.1647874
1830.0, 0.16462846
1840.0, 0.16446982
1850.0, 0.16431147
1860.0, 0.16415343
1870.0, 0.16399565
1880.0, 0.16383818
1890.0, 0.16368102
1900.0, 0.16352412
1910.0, 0.16336752
1920.0, 0.16321121
1930.0, 0.1630552
1940.0, 0.16289946
1950.0, 0.16274402
1960.0, 0.16258886
1970.0, 0.162434
1980.0, 0.16227941
1990.0, 0.16212513
2000.0, 0.16197112
2010.0, 0.16181739
2020.0, 0.16166395
2030.0, 0.1615108
2040.0, 0.16135792
2050.0, 0.16120534
2060.0, 0.16105303
2070.0, 0.16090101
2080.0, 0.16074926
2090.0, 0.1605978
2100.0, 0.16044663
2110.0, 0.16029572
2120.0, 0.1601451
2130.0, 0.15999477
2140.0, 0.1598447
2150.0, 0.15969491
2160.0, 0.1595454
2170.0, 0.15939619
2180.0, 0.15924722
2190.0, 0.15909855
2200.0, 0.15895015
2210.0, 0.15880202
2220.0, 0.15865417
2230.0, 0.15850659
2240.0, 0.15835927
2250.0, 0.15821226
2260.0, 0.1580655
2270.0, 0.157919
2280.0, 0.1577728
2290.0, 0.15762685
2300.0, 0.15748118
2310.0, 0.15733577
2320.0, 0.15719064
2330.0, 0.15704578
2340.0, 0.15690118
2350.0, 0.15675686
2360.0, 0.1566128
2370.0, 0.156469
2380.0, 0.15632549
2390.0, 0.15618223
2400.0, 0.15603924
2410.0, 0.15589651
2420.0, 0.15575404
2430.0, 0.15561186
2440.0, 0.15546992
2450.0, 0.15532826
2460.0, 0.15518685
2470.0, 0.1550457
2480.0, 0.15490481
2490.0, 0.1547642
2500.0, 0.15462384
2510.0, 0.15448375
2520.0, 0.1543439
2530.0, 0.15420434
2540.0, 0.15406501
2550.0, 0.15392596
2560.0, 0.15378715
