Energy (in eV), backscattering yield of material osr2k-NASCAP at incidence 40.0 degree
   X,       Y
0.0, 0.58802754
10.0, 0.27334353
20.0, 0.12706323
30.0, 0.05906511
40.0, 0.02745631
50.0, 0.012763015
60.0, 0.037557676
70.0, 0.056674045
80.0, 0.07235838
90.0, 0.085576035
100.0, 0.096947774
110.0, 0.1068994
120.0, 0.115731075
130.0, 0.123659626
140.0, 0.13084552
150.0, 0.13741027
160.0, 0.14344797
170.0, 0.14903289
180.0, 0.15422462
190.0, 0.15907179
200.0, 0.1636145
210.0, 0.16788627
220.0, 0.17191541
230.0, 0.175726
240.0, 0.17933874
250.0, 0.18277153
260.0, 0.18603995
270.0, 0.1891577
280.0, 0.19213676
290.0, 0.19498782
300.0, 0.19772036
310.0, 0.20034285
320.0, 0.20286292
330.0, 0.20528738
340.0, 0.20762245
350.0, 0.2098737
360.0, 0.2120463
370.0, 0.21414486
380.0, 0.21617362
390.0, 0.21813652
400.0, 0.22003715
410.0, 0.22187877
420.0, 0.2236645
430.0, 0.22539714
440.0, 0.22707926
450.0, 0.22871335
460.0, 0.23030162
470.0, 0.23184621
480.0, 0.23334911
490.0, 0.23481213
500.0, 0.23623697
510.0, 0.23762527
520.0, 0.23897852
530.0, 0.2402982
540.0, 0.24158557
550.0, 0.24284194
560.0, 0.2440685
570.0, 0.24526636
580.0, 0.24643661
590.0, 0.2475802
600.0, 0.24869815
610.0, 0.24979132
620.0, 0.25086054
630.0, 0.25190672
640.0, 0.25293055
650.0, 0.2539328
660.0, 0.25491416
670.0, 0.2558753
680.0, 0.2568169
690.0, 0.25773945
700.0, 0.25864366
710.0, 0.25953004
720.0, 0.2603991
730.0, 0.26125136
740.0, 0.26208732
750.0, 0.26290742
760.0, 0.26371217
770.0, 0.26450187
780.0, 0.2652771
790.0, 0.26603812
800.0, 0.26678538
810.0, 0.26751924
820.0, 0.26823997
830.0, 0.26894805
840.0, 0.26964366
850.0, 0.27032727
860.0, 0.270999
870.0, 0.2716593
880.0, 0.27230838
890.0, 0.27294648
900.0, 0.27357394
910.0, 0.27419096
920.0, 0.27479777
930.0, 0.27539468
940.0, 0.2759818
950.0, 0.2765595
960.0, 0.27712786
970.0, 0.2776872
980.0, 0.2782376
990.0, 0.27877936
1000.0, 0.2793126
1010.0, 0.2791276
1020.0, 0.2789429
1030.0, 0.27875856
1040.0, 0.27857453
1050.0, 0.27839085
1060.0, 0.27820748
1070.0, 0.27802446
1080.0, 0.27784178
1090.0, 0.2776594
1100.0, 0.27747735
1110.0, 0.27729565
1120.0, 0.27711424
1130.0, 0.2769332
1140.0, 0.27675244
1150.0, 0.27657205
1160.0, 0.27639195
1170.0, 0.2762122
1180.0, 0.27603275
1190.0, 0.27585363
1200.0, 0.27567485
1210.0, 0.2754964
1220.0, 0.2753182
1230.0, 0.2751404
1240.0, 0.2749629
1250.0, 0.2747857
1260.0, 0.27460882
1270.0, 0.27443227
1280.0, 0.27425605
1290.0, 0.27408013
1300.0, 0.27390453
1310.0, 0.27372923
1320.0, 0.27355427
1330.0, 0.27337962
1340.0, 0.27320528
1350.0, 0.27303126
1360.0, 0.27285758
1370.0, 0.2726842
1380.0, 0.2725111
1390.0, 0.27233833
1400.0, 0.27216586
1410.0, 0.27199373
1420.0, 0.2718219
1430.0, 0.27165037
1440.0, 0.27147916
1450.0, 0.27130824
1460.0, 0.27113765
1470.0, 0.27096736
1480.0, 0.27079737
1490.0, 0.2706277
1500.0, 0.27045834
1510.0, 0.27028927
1520.0, 0.2701205
1530.0, 0.26995206
1540.0, 0.2697839
1550.0, 0.26961607
1560.0, 0.26944855
1570.0, 0.2692813
1580.0, 0.26911438
1590.0, 0.26894775
1600.0, 0.2687814
1610.0, 0.2686154
1620.0, 0.26844966
1630.0, 0.26828423
1640.0, 0.2681191
1650.0, 0.26795426
1660.0, 0.26778975
1670.0, 0.2676255
1680.0, 0.26746157
1690.0, 0.26729792
1700.0, 0.2671346
1710.0, 0.26697156
1720.0, 0.26680878
1730.0, 0.26664636
1740.0, 0.26648417
1750.0, 0.2663223
1760.0, 0.26616073
1770.0, 0.26599947
1780.0, 0.26583847
1790.0, 0.26567778
1800.0, 0.26551735
1810.0, 0.26535726
1820.0, 0.26519743
1830.0, 0.2650379
1840.0, 0.26487866
1850.0, 0.2647197
1860.0, 0.26456103
1870.0, 0.26440266
1880.0, 0.26424456
1890.0, 0.26408675
1900.0, 0.26392925
1910.0, 0.263772
1920.0, 0.26361504
1930.0, 0.2634584
1940.0, 0.26330203
1950.0, 0.26314592
1960.0, 0.26299012
1970.0, 0.26283458
1980.0, 0.26267934
1990.0, 0.2625244
2000.0, 0.2623697
2010.0, 0.26221532
2020.0, 0.2620612
2030.0, 0.26190737
2040.0, 0.26175383
2050.0, 0.26160052
2060.0, 0.26144755
2070.0, 0.2612948
2080.0, 0.26114237
2090.0, 0.2609902
2100.0, 0.26083833
2110.0, 0.2606867
2120.0, 0.2605354
2130.0, 0.26038432
2140.0, 0.26023352
2150.0, 0.26008302
2160.0, 0.2599328
2170.0, 0.25978282
2180.0, 0.25963315
2190.0, 0.25948372
2200.0, 0.2593346
2210.0, 0.25918573
2220.0, 0.2590371
2230.0, 0.25888878
2240.0, 0.25874072
2250.0, 0.25859293
2260.0, 0.2584454
2270.0, 0.2582982
2280.0, 0.25815117
2290.0, 0.2580045
2300.0, 0.25785804
2310.0, 0.25771186
2320.0, 0.25756595
2330.0, 0.2574203
2340.0, 0.25727493
2350.0, 0.25712982
2360.0, 0.25698498
2370.0, 0.25684038
2380.0, 0.25669605
2390.0, 0.256552
2400.0, 0.2564082
2410.0, 0.2562647
2420.0, 0.25612143
2430.0, 0.2559784
2440.0, 0.25583568
2450.0, 0.2556932
2460.0, 0.25555098
2470.0, 0.255409
2480.0, 0.2552673
2490.0, 0.25512585
2500.0, 0.25498468
2510.0, 0.25484374
2520.0, 0.25470307
2530.0, 0.25456265
2540.0, 0.2544225
2550.0, 0.2542826
2560.0, 0.25414297
2570.0, 0.25400358
