Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
0.0, 0.5052931
10.0, 0.18873253
20.0, 0.07049368
30.0, 0.026330167
40.0, 0.009834609
50.0, 0.0036733348
60.0, 0.014711875
70.0, 0.024967879
80.0, 0.03418118
90.0, 0.042409036
100.0, 0.049787257
110.0, 0.056451395
120.0, 0.06251648
130.0, 0.068075486
140.0, 0.07320269
150.0, 0.07795767
160.0, 0.08238862
170.0, 0.08653504
180.0, 0.09042959
190.0, 0.09409964
200.0, 0.09756832
210.0, 0.100855306
220.0, 0.103977576
230.0, 0.106949784
240.0, 0.10978473
250.0, 0.112493634
260.0, 0.11508637
270.0, 0.11757172
280.0, 0.11995749
290.0, 0.12225066
300.0, 0.12445752
310.0, 0.1265837
320.0, 0.12863435
330.0, 0.13061407
340.0, 0.13252713
350.0, 0.13437735
360.0, 0.13616829
370.0, 0.1379032
380.0, 0.13958502
390.0, 0.14121655
400.0, 0.14280032
410.0, 0.14433864
420.0, 0.14583378
430.0, 0.14728771
440.0, 0.14870231
450.0, 0.1500794
460.0, 0.15142055
470.0, 0.15272738
480.0, 0.15400131
490.0, 0.15524368
500.0, 0.15645577
510.0, 0.15763877
520.0, 0.1587938
530.0, 0.159922
540.0, 0.16102427
550.0, 0.16210164
560.0, 0.16315496
570.0, 0.1641851
580.0, 0.16519289
590.0, 0.16617903
600.0, 0.16714431
610.0, 0.16808942
620.0, 0.16901496
630.0, 0.16992165
640.0, 0.17080998
650.0, 0.1716806
660.0, 0.17253405
670.0, 0.1733708
680.0, 0.1741914
690.0, 0.17499626
700.0, 0.17578591
710.0, 0.17656073
720.0, 0.17732118
730.0, 0.17806761
740.0, 0.17880046
750.0, 0.17952004
760.0, 0.18022676
770.0, 0.1809209
780.0, 0.18160285
790.0, 0.18227291
800.0, 0.18293136
810.0, 0.18357849
820.0, 0.18421458
830.0, 0.18483995
840.0, 0.18545479
850.0, 0.18605942
860.0, 0.18665402
870.0, 0.18723889
880.0, 0.18781422
890.0, 0.18838018
900.0, 0.18893708
910.0, 0.18948509
920.0, 0.19002438
930.0, 0.19055517
940.0, 0.19107762
950.0, 0.19159195
960.0, 0.19209829
970.0, 0.19259685
980.0, 0.19308779
990.0, 0.19357122
1000.0, 0.19404735
1010.0, 0.19388212
1020.0, 0.19371723
1030.0, 0.19355266
1040.0, 0.19338842
1050.0, 0.1932245
1060.0, 0.1930609
1070.0, 0.19289763
1080.0, 0.1927347
1090.0, 0.19257207
1100.0, 0.19240977
1110.0, 0.19224781
1120.0, 0.19208615
1130.0, 0.19192481
1140.0, 0.1917638
1150.0, 0.19160312
1160.0, 0.19144274
1170.0, 0.19128269
