Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 40.0 degree
   X,       Y
0.0, 0.58802754
10.0, 0.27334353
20.0, 0.12706323
30.0, 0.05906511
40.0, 0.02745631
50.0, 0.012763015
60.0, 0.0335624
70.0, 0.05016237
80.0, 0.063913986
90.0, 0.07554205
100.0, 0.08555715
110.0, 0.09432316
120.0, 0.10210116
130.0, 0.10908128
140.0, 0.115404874
150.0, 0.121179156
160.0, 0.12648724
170.0, 0.13139477
180.0, 0.13595442
190.0, 0.14020915
200.0, 0.14419448
210.0, 0.14794002
220.0, 0.15147083
230.0, 0.15480813
240.0, 0.15797034
250.0, 0.16097322
260.0, 0.16383055
270.0, 0.16655448
280.0, 0.1691556
290.0, 0.17164336
300.0, 0.17402616
310.0, 0.1763115
320.0, 0.17850609
330.0, 0.18061599
340.0, 0.18264672
350.0, 0.1846032
360.0, 0.18648997
370.0, 0.18831116
380.0, 0.1900705
390.0, 0.19177146
400.0, 0.19341724
410.0, 0.19501075
420.0, 0.1965547
430.0, 0.1980516
440.0, 0.19950375
450.0, 0.2009133
460.0, 0.20228224
470.0, 0.20361249
480.0, 0.20490573
490.0, 0.20616363
500.0, 0.2073877
510.0, 0.20857936
520.0, 0.20973997
530.0, 0.21087079
540.0, 0.21197297
550.0, 0.21304767
560.0, 0.21409595
570.0, 0.21511875
580.0, 0.21611708
590.0, 0.21709178
600.0, 0.21804373
610.0, 0.21897371
620.0, 0.2198825
630.0, 0.2207708
640.0, 0.2216393
650.0, 0.22248866
660.0, 0.2233195
670.0, 0.22413242
680.0, 0.22492796
690.0, 0.2257067
700.0, 0.22646913
710.0, 0.2272157
720.0, 0.227947
730.0, 0.22866334
740.0, 0.22936527
750.0, 0.23005311
760.0, 0.2307273
770.0, 0.23138823
780.0, 0.23203628
790.0, 0.23267175
800.0, 0.23329501
810.0, 0.23390639
820.0, 0.23450616
830.0, 0.23509465
840.0, 0.23567216
850.0, 0.23623894
860.0, 0.2367953
870.0, 0.23734145
880.0, 0.23787768
890.0, 0.23840417
900.0, 0.23892125
910.0, 0.23942904
920.0, 0.23992784
930.0, 0.24041781
940.0, 0.24089918
950.0, 0.24137212
960.0, 0.24183685
970.0, 0.24229352
980.0, 0.24274234
990.0, 0.24318345
1000.0, 0.24361703
1010.0, 0.24342413
1020.0, 0.24323156
1030.0, 0.24303934
1040.0, 0.24284743
1050.0, 0.24265589
1060.0, 0.24246468
1070.0, 0.2422738
1080.0, 0.24208324
1090.0, 0.24189302
1100.0, 0.24170315
1110.0, 0.2415136
1120.0, 0.2413244
1130.0, 0.24113552
1140.0, 0.24094698
1150.0, 0.24075876
1160.0, 0.24057089
1170.0, 0.24038334
1180.0, 0.24019612
1190.0, 0.24000922
1200.0, 0.23982267
1210.0, 0.23963642
1220.0, 0.23945053
1230.0, 0.23926495
1240.0, 0.23907968
1250.0, 0.23889478
1260.0, 0.23871017
1270.0, 0.2385259
1280.0, 0.23834194
1290.0, 0.23815833
1300.0, 0.23797503
1310.0, 0.23779204
1320.0, 0.23760939
1330.0, 0.23742706
1340.0, 0.23724507
1350.0, 0.23706336
1360.0, 0.236882
1370.0, 0.23670094
1380.0, 0.23652023
1390.0, 0.23633981
1400.0, 0.23615971
1410.0, 0.23597994
1420.0, 0.23580049
1430.0, 0.23562135
1440.0, 0.23544252
1450.0, 0.23526402
1460.0, 0.23508583
1470.0, 0.23490795
1480.0, 0.2347304
1490.0, 0.23455314
1500.0, 0.2343762
1510.0, 0.23419958
1520.0, 0.23402329
1530.0, 0.23384728
1540.0, 0.2336716
1550.0, 0.23349623
1560.0, 0.23332115
1570.0, 0.2331464
1580.0, 0.23297194
1590.0, 0.23279782
1600.0, 0.23262398
1610.0, 0.23245047
1620.0, 0.23227726
1630.0, 0.23210435
1640.0, 0.23193175
1650.0, 0.23175944
1660.0, 0.23158745
1670.0, 0.23141576
1680.0, 0.23124439
1690.0, 0.2310733
1700.0, 0.23090254
1710.0, 0.23073205
1720.0, 0.2305619
1730.0, 0.23039202
1740.0, 0.23022246
1750.0, 0.2300532
1760.0, 0.22988422
1770.0, 0.22971556
1780.0, 0.22954719
1790.0, 0.22937912
1800.0, 0.22921136
1810.0, 0.22904389
1820.0, 0.22887671
1830.0, 0.22870985
1840.0, 0.22854325
1850.0, 0.22837697
1860.0, 0.22821097
1870.0, 0.22804528
1880.0, 0.2278799
1890.0, 0.22771478
1900.0, 0.22754997
1910.0, 0.22738545
1920.0, 0.22722122
1930.0, 0.22705728
1940.0, 0.22689363
1950.0, 0.22673029
1960.0, 0.22656722
1970.0, 0.22640446
1980.0, 0.22624198
1990.0, 0.22607978
2000.0, 0.22591786
2010.0, 0.22575624
2020.0, 0.22559492
2030.0, 0.22543387
2040.0, 0.22527312
2050.0, 0.22511266
2060.0, 0.22495246
2070.0, 0.22479258
2080.0, 0.22463296
2090.0, 0.22447363
2100.0, 0.22431459
2110.0, 0.22415583
2120.0, 0.22399735
2130.0, 0.22383915
2140.0, 0.22368124
2150.0, 0.2235236
2160.0, 0.22336626
2170.0, 0.22320919
2180.0, 0.22305238
2190.0, 0.22289588
2200.0, 0.22273965
2210.0, 0.2225837
2220.0, 0.22242802
2230.0, 0.22227262
2240.0, 0.2221175
2250.0, 0.22196265
2260.0, 0.22180809
2270.0, 0.22165379
2280.0, 0.22149979
2290.0, 0.22134605
2300.0, 0.22119258
2310.0, 0.2210394
2320.0, 0.22088647
2330.0, 0.22073382
2340.0, 0.22058147
2350.0, 0.22042938
2360.0, 0.22027753
2370.0, 0.22012599
2380.0, 0.2199747
2390.0, 0.21982369
2400.0, 0.21967293
2410.0, 0.21952246
2420.0, 0.21937226
2430.0, 0.21922232
2440.0, 0.21907265
2450.0, 0.21892326
2460.0, 0.21877412
2470.0, 0.21862526
2480.0, 0.21847667
2490.0, 0.21832834
2500.0, 0.21818027
2510.0, 0.21803246
2520.0, 0.21788493
2530.0, 0.21773766
2540.0, 0.21759066
2550.0, 0.21744391
2560.0, 0.21729742
2570.0, 0.21715121
