Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.004141, 18.048176
20.60349, 3510.1248
31.736023, 1224693.4
42.584393, 1.1954298E7
54.993843, 2.9636746E7
65.314285, 4607340.0
75.379776, 1.13494136E8
89.25104, 4144418.8
102.321465, 4.5716272E7
112.98028, 4.2411228E7
126.77251, 8428014.0
142.59341, 8103833.5
169.59946, 1.17194824E8
181.3832, 2.11124496E8
193.43687, 5.8814356E7
212.64473, 7.2834432E7
224.34773, 4.02676224E8
241.98785, 2.24012576E8
260.51187, 3.49994784E8
271.9116, 7503657.0
283.54352, 2.91853056E8
298.2867, 1.18822336E8
309.19302, 4.7856784E8
320.75186, 2.84143104E8
332.57407, 4.53968352E8
347.3159, 2.69912448E8
363.04065, 4.24535168E8
384.21808, 3.6470404E7
399.2076, 4.18317312E8
415.37927, 1.2945376E8
430.5317, 1.3241504E8
443.5159, 2.91423328E8
457.58667, 4.46826912E8
468.32144, 3.00359808E8
479.4181, 4.3966416E8
493.498, 3.00687616E8
508.62622, 4.44583968E8
528.36865, 4.6686656E7
542.2951, 4.25378144E8
577.1393, 2.5860142E7
606.07697, 2.4973456E7
619.93677, 2.5390346E7
632.38696, 3.07961216E8
645.91327, 4.53113536E8
745.91327, 3.38374656E8
766.0475, 5.9912984E7
777.7898, 4.10642368E8
877.7898, 3.3082224E8
977.7898, 2.9172544E8
1077.7898, 2.65388528E8
