Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.004141, 0.0
20.60349, 143994.83
31.736023, 5059304.5
42.584393, 4.0701992E7
54.993843, 41770.402
65.314285, 3581.877
75.379776, 3.20052192E8
89.25104, 6.0178728E7
102.321465, 2.66371104E8
112.98028, 1.8069436E7
126.77251, 3.2866828E7
142.59341, 1.7464068E7
169.59946, 6.8838952E7
181.3832, 2.1397252E7
193.43687, 3.8802068E7
212.64473, 183.18239
224.34773, 5.6952896E8
241.98785, 2.8051872E8
260.51187, 4.02458848E8
271.9116, 24.567825
283.54352, 4.21398336E8
298.2867, 9.851072E7
309.19302, 1.45923872E8
320.75186, 1.72704128E8
332.57407, 4.32018432E8
347.3159, 2.29673264E8
363.04065, 1.5353924E7
384.21808, 2.3454308E7
399.2076, 7.2191616E8
415.37927, 2.5119824E8
430.5317, 3.3537408E7
443.5159, 1.8215792E8
457.58667, 13.451672
468.32144, 2.86352224E8
479.4181, 2.55638944E8
493.498, 6.0394746E8
508.62622, 3.17180928E8
528.36865, 1.2596285
542.2951, 5.0703163
577.1393, 1.2476414E7
606.07697, 3.7194776E7
619.93677, 0.28629473
632.38696, 2.10932032E8
645.91327, 2.14395296E8
745.91327, 2.32397328E8
766.0475, 0.2660239
777.7898, 2.50602384E8
877.7898, 1.90726352E8
977.7898, 3.8613408E8
1077.7898, 1.06377912E8
