Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.004141, 0.0
20.60349, 6502.442
31.736023, 681987.0
42.584393, 5472834.5
54.993843, 1.1934182E7
65.314285, 1989013.2
75.379776, 4.4142952E7
89.25104, 2234493.2
102.321465, 2.0590636E7
112.98028, 1.5959294E7
126.77251, 4187958.5
142.59341, 3185907.8
169.59946, 4.2366312E7
181.3832, 8.5435464E7
193.43687, 2.2208372E7
212.64473, 2.5989764E7
224.34773, 1.41887408E8
241.98785, 8.2779024E7
260.51187, 1.34960688E8
271.9116, 3614623.8
283.54352, 9.9435272E7
298.2867, 3.9365292E7
309.19302, 1.78508288E8
320.75186, 1.04503376E8
332.57407, 1.46797584E8
347.3159, 9.8586176E7
363.04065, 1.62421024E8
384.21808, 1.2929039E7
399.2076, 1.47349296E8
415.37927, 4.3510884E7
430.5317, 5.2020164E7
443.5159, 1.07958176E8
457.58667, 1.43152976E8
468.32144, 1.26847688E8
479.4181, 1.30338512E8
493.498, 1.06210216E8
508.62622, 1.6929864E8
528.36865, 1.798357E7
542.2951, 1.4782128E8
577.1393, 1.0019887E7
606.07697, 9984802.0
619.93677, 8231217.5
632.38696, 1.16586888E8
645.91327, 1.49115904E8
745.91327, 1.27145248E8
766.0475, 2.3265886E7
777.7898, 1.41634624E8
877.7898, 1.04947936E8
977.7898, 1.01374224E8
1077.7898, 1.06763248E8
