Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.004141, 0.0
20.60349, 5066.0444
31.736023, 402837.7
42.584393, 2529955.0
54.993843, 4994470.0
65.314285, 895738.3
75.379776, 2.2958454E7
89.25104, 2160220.5
102.321465, 1.3565297E7
112.98028, 1.0158222E7
126.77251, 3741921.2
142.59341, 2859722.0
169.59946, 1.9901728E7
181.3832, 5.4183664E7
193.43687, 1.4213656E7
212.64473, 1.3200224E7
224.34773, 8.7480648E7
241.98785, 7.347524E7
260.51187, 1.0494476E8
271.9116, 3677271.2
283.54352, 7.0163512E7
298.2867, 3.0500342E7
309.19302, 1.15064984E8
320.75186, 1.01567744E8
332.57407, 1.13992312E8
347.3159, 1.07577576E8
363.04065, 1.1578764E8
384.21808, 1.9498946E7
399.2076, 1.29689528E8
415.37927, 6.8164896E7
430.5317, 6.5954376E7
443.5159, 1.48850624E8
457.58667, 1.45772816E8
468.32144, 1.48174448E8
479.4181, 1.4829416E8
493.498, 1.66665696E8
508.62622, 1.37125408E8
528.36865, 2.4123546E7
542.2951, 1.51362288E8
577.1393, 1.1967462E7
606.07697, 1.338061E7
619.93677, 1.3672338E7
632.38696, 1.73809856E8
645.91327, 1.73360448E8
745.91327, 1.85698176E8
766.0475, 3.2336768E7
777.7898, 2.04996592E8
877.7898, 1.82165984E8
977.7898, 2.07384192E8
1077.7898, 1.83493344E8
