Time s, total number of superparticles-
10.004141, 99767.33
20.60349, 34880.875
31.736023, 24953.02
42.584393, 21438.635
54.993843, 18181.428
65.314285, 16138.842
75.379776, 15455.447
89.25104, 12794.421
102.321465, 13327.322
112.98028, 12757.986
126.77251, 11889.108
142.59341, 10398.923
169.59946, 10120.711
181.3832, 9717.802
193.43687, 9480.367
212.64473, 9053.936
224.34773, 9624.0
241.98785, 8023.0
260.51187, 8895.0
271.9116, 7847.0557
283.54352, 8517.217
298.2867, 7712.4775
309.19302, 8673.0
320.75186, 7449.0
332.57407, 8389.0
347.3159, 7099.0
363.04065, 7960.0
384.21808, 6755.547
399.2076, 7505.0
415.37927, 7029.217
430.5317, 6980.1025
443.5159, 6538.0
457.58667, 7345.0
468.32144, 6354.0
479.4181, 7126.0
493.498, 6377.0
508.62622, 7108.0
528.36865, 6405.493
542.2951, 6795.0
577.1393, 6317.5586
606.07697, 6200.9976
619.93677, 6053.367
632.38696, 6033.0
645.91327, 6928.0
745.91327, 6177.0
766.0475, 5760.148
777.7898, 6231.0
877.7898, 5785.0
977.7898, 5549.0
1077.7898, 5492.0
