Time s, total number of superparticles-
10.004141, 347.58432
20.60349, 303.03345
31.736023, 281.5565
42.584393, 257.89905
54.993843, 234.98843
65.314285, 212.2955
75.379776, 202.32158
89.25104, 191.7677
102.321465, 197.16402
112.98028, 190.94412
126.77251, 178.94875
142.59341, 185.66623
169.59946, 168.87425
181.3832, 145.6406
193.43687, 153.29027
212.64473, 154.07869
224.34773, 162.0
241.98785, 150.0
260.51187, 156.0
271.9116, 147.73941
283.54352, 132.00359
298.2867, 141.1363
309.19302, 163.0
320.75186, 127.0
332.57407, 139.0
347.3159, 138.0
363.04065, 144.0
384.21808, 127.29951
399.2076, 133.0
415.37927, 125.66217
430.5317, 139.23322
443.5159, 122.0
457.58667, 124.0
468.32144, 121.0
479.4181, 114.0
493.498, 118.0
508.62622, 98.0
528.36865, 121.020355
542.2951, 122.0
577.1393, 114.04789
606.07697, 125.56458
619.93677, 132.43167
632.38696, 104.0
645.91327, 100.0
745.91327, 107.0
766.0475, 111.88499
777.7898, 113.0
877.7898, 103.0
977.7898, 127.0
1077.7898, 86.0
