Time s, total number of superparticles-
10.004141, 10814.784
20.60349, 3998.2864
31.736023, 2908.599
42.584393, 2461.1672
54.993843, 2086.3198
65.314285, 1851.7909
75.379776, 1750.3866
89.25104, 1551.7615
102.321465, 1533.6473
112.98028, 1423.941
126.77251, 1367.8323
142.59341, 1268.7849
169.59946, 1207.2919
181.3832, 1198.0674
193.43687, 1101.9015
212.64473, 1079.3506
224.34773, 1091.0
241.98785, 1007.0
260.51187, 1022.0
271.9116, 997.73236
283.54352, 981.6732
298.2867, 955.5325
309.19302, 1033.0
320.75186, 947.0
332.57407, 941.0
347.3159, 908.0
363.04065, 937.0
384.21808, 857.66095
399.2076, 922.0
415.37927, 867.5232
430.5317, 857.78656
443.5159, 817.0
457.58667, 863.0
468.32144, 833.0
479.4181, 770.0
493.498, 827.0
508.62622, 840.0
528.36865, 806.4399
542.2951, 834.0
577.1393, 761.9578
606.07697, 758.79865
619.93677, 766.5845
632.38696, 764.0
645.91327, 818.0
745.91327, 795.0
766.0475, 769.1256
777.7898, 777.0
877.7898, 722.0
977.7898, 715.0
1077.7898, 708.0
